#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.43391	1.43391	0
2	1.43384	1.43387	2.56643e-05
3	1.43376	1.43384	3.46562e-05
4	1.43388	1.43385	2.76315e-05
5	1.43389	1.43386	2.34733e-05
6	1.43378	1.43384	2.24724e-05
7	1.43376	1.43383	2.2345e-05
8	1.43377	1.43382	2.10075e-05
9	1.43386	1.43383	1.90077e-05
10	1.43387	1.43383	1.7711e-05
11	1.43377	1.43383	1.70071e-05
12	1.43386	1.43383	1.58354e-05
13	1.43383	1.43383	1.46183e-05
14	1.43377	1.43382	1.41833e-05
15	1.43386	1.43383	1.346e-05
16	1.43388	1.43383	1.29531e-05
17	1.4337	1.43382	1.43752e-05
18	1.43379	1.43382	1.36785e-05
19	1.43379	1.43382	1.30438e-05
20	1.4338	1.43382	1.24152e-05
21	1.43389	1.43382	1.22334e-05
22	1.43384	1.43382	1.17228e-05
23	1.43386	1.43382	1.13493e-05
24	1.43372	1.43382	1.17366e-05
25	1.43364	1.43381	1.32368e-05
26	1.43371	1.43381	1.3277e-05
27	1.43371	1.43381	1.3246e-05
28	1.43369	1.4338	1.33718e-05
29	1.43375	1.4338	1.30263e-05
30	1.43379	1.4338	1.25934e-05
31	1.4339	1.4338	1.26208e-05
32	1.43382	1.4338	1.22438e-05
33	1.43379	1.4338	1.18807e-05
34	1.43383	1.4338	1.1568e-05
35	1.43375	1.4338	1.13408e-05
36	1.43385	1.4338	1.11055e-05
37	1.43384	1.4338	1.08471e-05
38	1.43383	1.4338	1.05811e-05
39	1.4338	1.4338	1.0311e-05
40	1.43383	1.43381	1.00713e-05
41	1.43387	1.43381	9.95169e-06
42	1.43389	1.43381	9.92607e-06
43	1.43387	1.43381	9.78496e-06
44	1.43382	1.43381	9.56334e-06
45	1.43387	1.43381	9.44341e-06
46	1.43384	1.43381	9.2573e-06
47	1.43374	1.43381	9.18947e-06
48	1.43374	1.43381	9.10615e-06
49	1.43378	1.43381	8.94145e-06
50	1.43378	1.43381	8.77573e-06
51	1.4337	1.43381	8.866e-06
52	1.4337	1.4338	8.9368e-06
53	1.43376	1.4338	8.80251e-06
54	1.43381	1.4338	8.6405e-06
55	1.43376	1.4338	8.51579e-06
56	1.43388	1.4338	8.47938e-06
57	1.43379	1.4338	8.33707e-06
58	1.43375	1.4338	8.25001e-06
59	1.43372	1.4338	8.23875e-06
60	1.43371	1.4338	8.25661e-06
61	1.43371	1.4338	8.24983e-06
62	1.43365	1.4338	8.45206e-06
63	1.43374	1.4338	8.36423e-06
64	1.43379	1.4338	8.23364e-06
65	1.4338	1.4338	8.10703e-06
66	1.43381	1.4338	7.98572e-06
67	1.43375	1.43379	7.8999e-06
68	1.43387	1.4338	7.8648e-06
69	1.43359	1.43379	8.27779e-06
70	1.4338	1.43379	8.16007e-06
71	1.4338	1.43379	8.04577e-06
72	1.43381	1.43379	7.93961e-06
73	1.43379	1.43379	7.8313e-06
74	1.43378	1.43379	7.72839e-06
75	1.43384	1.43379	7.65188e-06
76	1.43378	1.43379	7.55333e-06
77	1.4335	1.43379	8.34581e-06
78	1.4336	1.43379	8.57494e-06
79	1.43375	1.43379	8.47945e-06
80	1.43377	1.43379	8.3758e-06
81	1.43386	1.43379	8.32553e-06
82	1.43375	1.43379	8.23528e-06
83	1.43371	1.43379	8.1846e-06
84	1.43376	1.43379	8.09212e-06
85	1.43379	1.43379	7.99711e-06
86	1.43382	1.43379	7.916e-06
87	1.43383	1.43379	7.8431e-06
88	1.43372	1.43379	7.78739e-06
89	1.43389	1.43379	7.77997e-06
90	1.43376	1.43379	7.70036e-06
91	1.43375	1.43379	7.62598e-06
92	1.4336	1.43378	7.81094e-06
93	1.43354	1.43378	8.15093e-06
94	1.43378	1.43378	8.0644e-06
95	1.43382	1.43378	7.99135e-06
96	1.4338	1.43378	7.90966e-06
97	1.43384	1.43378	7.8476e-06
98	1.43372	1.43378	7.79702e-06
99	1.43382	1.43378	7.72973e-06
100	1.43386	1.43378	7.68974e-06
