#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0	0
0.452431	0	0
0.517064	0	0
0.581697	0	0
0.64633	0	0
0.710963	0	0
0.775596	0	0
0.84023	0.000898024	0.000126779
0.904863	0.147132	0.00159
0.969496	1.05034	0.00475937
1.03413	1.96508	0.010007
1.09876	2.2218	0.00537084
1.16339	2.03216	0.00681393
1.22803	1.78119	0.00736157
1.29266	1.60545	0.00405539
1.35729	1.42927	0.00488242
1.42193	1.31919	0.00392511
1.48656	1.2613	0.00363066
1.55119	1.16536	0.00326295
1.61583	1.15381	0.00266209
1.68046	1.10009	0.00377469
1.74509	1.09444	0.0028109
1.80973	1.06716	0.00235308
1.87436	1.06923	0.00253464
1.93899	1.05401	0.00287292
2.00362	1.04052	0.00221614
2.06826	1.05281	0.00202782
2.13289	1.0354	0.00272138
2.19752	1.02072	0.00256211
2.26216	1.04216	0.00246036
2.32679	1.02344	0.0016229
2.39142	1.02591	0.00222402
2.45606	1.01613	0.00191709
2.52069	1.02231	0.00197393
2.58532	1.004	0.0020256
2.64995	1.02164	0.00135778
2.71459	1.01259	0.00170566
2.77922	1.01059	0.00201843
2.84385	1.00633	0.00141304
2.90849	1.00788	0.00121971
2.97312	1.00339	0.00183663
3.03775	0.999661	0.00119422
3.10239	1.0058	0.00143605
3.16702	0.985445	0.001456
3.23165	0.998061	0.00113881
3.29629	0.996596	0.00154463
3.36092	0.990339	0.00172185
3.42555	0.989913	0.00148251
3.49018	1.00737	0.00160067
3.55482	0.984795	0.00183923
3.61945	0.993312	0.00115765
3.68408	0.988117	0.00104395
3.74872	0.984607	0.00134435
3.81335	0.984134	0.00137987
3.87798	0.989536	0.00121266
3.94262	0.991529	0.00128022
4.00725	0.98554	0.00120926
4.07188	0.989422	0.00097992
4.13651	0.993537	0.00102763
4.20115	0.984397	0.000973739
4.26578	0.991423	0.00109961
4.33041	0.993506	0.00107946
4.39505	0.984974	0.000890905
4.45968	0.988359	0.00108696
4.52431	0.985106	0.000801613
4.58895	0.981392	0.000908195
4.65358	0.986207	0.00106294
4.71821	0.987146	0.000840374
4.78285	0.981848	0.000643397
4.84748	0.989294	0.000950812
4.91211	0.983501	0.000840579
4.97674	0.992025	0.000996446
5.04138	0.985688	0.000785119
5.10601	0.986566	0.000777297
5.17064	0.982194	0.000864619
5.23528	0.983325	0.000754737
5.29991	0.983504	0.00102743
5.36454	0.982923	0.00082278
5.42918	0.98133	0.00100136
5.49381	0.987814	0.000851324
5.55844	0.986078	0.000831429
5.62307	0.983529	0.000838362
5.68771	0.986103	0.00107889
5.75234	0.984686	0.000915648
5.81697	0.987949	0.000783321
5.88161	0.983188	0.000801567
5.94624	0.98844	0.000601349
6.01087	0.986571	0.000831091
6.07551	0.978777	0.0009097
6.14014	0.985933	0.000651436
6.20477	0.98422	0.00073405
6.2694	0.988047	0.000857547
6.33404	0.981909	0.000766076
6.39867	0.984312	0.000787473
