#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.40933	-0.40933	0
2	-0.409363	-0.409346	1.1568e-05
3	-0.412203	-0.410299	0.000777617
4	-0.407989	-0.409721	0.000768289
5	-0.413014	-0.41038	0.000851271
6	-0.414933	-0.411139	0.000991597
7	-0.414089	-0.41156	0.000935236
8	-0.413753	-0.411834	0.000857576
9	-0.412019	-0.411855	0.000762535
10	-0.407355	-0.411405	0.000808222
11	-0.409942	-0.411272	0.000745603
12	-0.410657	-0.41122	0.000685228
13	-0.410373	-0.411155	0.000635615
14	-0.410098	-0.41108	0.000594681
15	-0.411931	-0.411137	0.000557738
16	-0.408953	-0.411	0.00053932
17	-0.413896	-0.41117	0.000533817
18	-0.408675	-0.411032	0.000521857
19	-0.406561	-0.410796	0.000544866
20	-0.404031	-0.410458	0.000613721
