#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0599015	0.0599015	0
2	0.059906	0.0599037	1.61736e-06
3	0.0598989	0.0599021	1.69696e-06
4	0.059902	0.0599021	1.27304e-06
5	0.0599018	0.0599021	1.01952e-06
6	0.0599042	0.0599024	9.0858e-07
7	0.0599007	0.0599022	8.09012e-07
8	0.0599021	0.0599022	7.07937e-07
9	0.059901	0.059902	6.40279e-07
10	0.059904	0.0599022	6.06353e-07
11	0.0599045	0.0599024	5.85518e-07
12	0.0598985	0.0599021	6.22696e-07
13	0.059899	0.0599019	6.19989e-07
14	0.0599013	0.0599018	5.77057e-07
15	0.0599037	0.059902	5.51844e-07
16	0.0599044	0.0599021	5.38749e-07
17	0.0599019	0.0599021	5.07222e-07
18	0.0599005	0.059902	4.86301e-07
19	0.0599006	0.0599019	4.66348e-07
20	0.0599023	0.0599019	4.43371e-07
