#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.39067	1.39067	0
2	1.39064	1.39065	1.1568e-05
3	1.3878	1.3897	0.000777617
4	1.39201	1.39028	0.000768289
5	1.38699	1.38962	0.000851271
6	1.38507	1.38886	0.000991597
7	1.38591	1.38844	0.000935236
8	1.38625	1.38817	0.000857576
9	1.38798	1.38815	0.000762535
10	1.39265	1.3886	0.000808222
11	1.39006	1.38873	0.000745603
12	1.38934	1.38878	0.000685228
13	1.38963	1.38884	0.000635615
14	1.3899	1.38892	0.000594681
15	1.38807	1.38886	0.000557738
16	1.39105	1.389	0.00053932
17	1.3861	1.38883	0.000533817
18	1.39133	1.38897	0.000521857
19	1.39344	1.3892	0.000544866
20	1.39597	1.38954	0.000613721
