N_BLOCK:	ACCEPTANCE:
1	0.629015
2	0.629621
3	0.630307
4	0.630134
5	0.63055
6	0.630404
7	0.630393
8	0.630792
9	0.630645
10	0.630553
11	0.630672
12	0.630582
13	0.630721
14	0.630663
15	0.630701
16	0.630548
17	0.63051
18	0.630572
19	0.630504
20	0.630483
21	0.630471
22	0.630535
23	0.630542
24	0.630532
25	0.630617
26	0.630654
27	0.630605
28	0.630592
29	0.630609
30	0.630627
31	0.630717
32	0.630745
33	0.630787
34	0.630758
35	0.630796
36	0.630779
37	0.630839
38	0.630871
39	0.630823
40	0.630853
41	0.630823
42	0.630854
43	0.630866
44	0.630918
45	0.630886
46	0.630857
47	0.630817
48	0.630787
49	0.630787
50	0.630807
51	0.630793
52	0.630805
53	0.630805
54	0.630831
55	0.630848
56	0.630815
57	0.630787
58	0.630771
59	0.63079
60	0.630765
61	0.630747
62	0.63075
63	0.630739
64	0.63072
65	0.630697
66	0.630682
67	0.630702
68	0.630717
69	0.630719
70	0.630714
71	0.630715
72	0.630719
73	0.630698
74	0.630679
75	0.630682
76	0.630677
77	0.630689
78	0.630691
79	0.630704
80	0.630709
81	0.630718
82	0.630709
83	0.63072
84	0.630722
85	0.630718
86	0.630701
87	0.630707
88	0.630728
89	0.630748
90	0.630749
91	0.630781
92	0.630773
93	0.630803
94	0.630814
95	0.630793
96	0.630793
97	0.63078
98	0.630778
99	0.630777
100	0.630768
