#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0	0
0.452431	0	0
0.517064	0	0
0.581697	0	0
0.64633	0	0
0.710963	0	0
0.775596	0	0
0.84023	0.000915984	4.50048e-05
0.904863	0.14861	0.000526719
0.969496	1.06327	0.00170855
1.03413	2.04112	0.00241035
1.09876	2.26722	0.0024445
1.16339	2.08566	0.00235518
1.22803	1.83232	0.0019336
1.29266	1.61963	0.00161089
1.35729	1.45231	0.00142275
1.42193	1.33638	0.00123799
1.48656	1.2485	0.00103589
1.55119	1.18864	0.000953975
1.61583	1.14322	0.00107398
1.68046	1.11065	0.000954779
1.74509	1.09044	0.000899258
1.80973	1.07441	0.000868812
1.87436	1.06535	0.000702755
1.93899	1.0595	0.000772896
2.00362	1.05734	0.000741332
2.06826	1.0546	0.000686059
2.13289	1.0525	0.000725062
2.19752	1.0478	0.000664589
2.26216	1.04259	0.000677776
2.32679	1.03571	0.000651442
2.39142	1.03101	0.00056167
2.45606	1.02617	0.000621075
2.52069	1.02053	0.000524951
2.58532	1.01658	0.000533041
2.64995	1.01269	0.000508023
2.71459	1.01039	0.00054579
2.77922	1.00809	0.000485121
2.84385	1.00453	0.000442913
2.90849	1.00373	0.000483219
2.97312	1.00188	0.000506306
3.03775	0.999866	0.00048562
3.10239	0.998524	0.000432587
3.16702	0.997416	0.000457221
3.23165	0.996285	0.000406058
3.29629	0.995993	0.000445658
3.36092	0.994904	0.000367762
3.42555	0.993149	0.000413057
3.49018	0.993159	0.000364601
3.55482	0.992697	0.000402853
3.61945	0.991401	0.00041581
3.68408	0.991435	0.000349578
3.74872	0.990964	0.000357345
3.81335	0.99049	0.000368144
3.87798	0.990094	0.000344947
3.94262	0.98944	0.000308862
4.00725	0.989961	0.000299651
4.07188	0.988394	0.000338695
4.13651	0.988604	0.000338083
4.20115	0.988613	0.000319325
4.26578	0.987839	0.000343854
4.33041	0.988165	0.00033894
4.39505	0.988085	0.000291223
4.45968	0.987705	0.00028619
4.52431	0.987131	0.000308603
4.58895	0.987282	0.000305797
4.65358	0.986907	0.000283247
4.71821	0.986685	0.00026455
4.78285	0.987168	0.000282194
4.84748	0.986878	0.000295825
4.91211	0.986485	0.000270381
4.97674	0.986483	0.000227665
5.04138	0.986371	0.000265098
5.10601	0.98639	0.000264317
5.17064	0.986144	0.000259534
5.23528	0.986706	0.000247735
5.29991	0.986451	0.000224053
5.36454	0.986175	0.000248227
5.42918	0.986581	0.000231441
5.49381	0.985892	0.000250547
5.55844	0.98611	0.000238122
5.62307	0.986203	0.000269871
5.68771	0.985956	0.000238216
5.75234	0.986041	0.000218659
5.81697	0.986007	0.00021691
5.88161	0.985789	0.000224218
5.94624	0.986177	0.000210622
6.01087	0.986255	0.000235627
6.07551	0.985976	0.000193559
6.14014	0.985891	0.000211535
6.20477	0.986197	0.000234914
6.2694	0.985854	0.000241593
6.33404	0.985788	0.000222111
6.39867	0.985808	0.00021416
