#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.411133	-0.411133	0
2	-0.411805	-0.411469	0.000237409
3	-0.410773	-0.411237	0.000246906
4	-0.413254	-0.411741	0.000474301
5	-0.408137	-0.41102	0.000748102
6	-0.412379	-0.411247	0.000656781
7	-0.41333	-0.411544	0.000626752
8	-0.407264	-0.411009	0.00074244
9	-0.412808	-0.411209	0.000686305
10	-0.411028	-0.411191	0.000617914
11	-0.408673	-0.410962	0.00060266
12	-0.41113	-0.410976	0.0005526
13	-0.408456	-0.410782	0.000543036
14	-0.413335	-0.410965	0.000533995
15	-0.410089	-0.410906	0.000501577
16	-0.414474	-0.411129	0.000517416
17	-0.41458	-0.411332	0.000525283
18	-0.411638	-0.411349	0.000496376
19	-0.412703	-0.41142	0.000475334
20	-0.412379	-0.411468	0.000453978
21	-0.412042	-0.411496	0.000433181
22	-0.409658	-0.411412	0.000421464
23	-0.410036	-0.411352	0.000407361
24	-0.41111	-0.411342	0.000390513
25	-0.407693	-0.411196	0.000401244
26	-0.410809	-0.411181	0.000386088
27	-0.412641	-0.411235	0.000375557
28	-0.410894	-0.411223	0.000362342
29	-0.411645	-0.411238	0.000350139
30	-0.412003	-0.411263	0.000339395
31	-0.40774	-0.41115	0.00034695
32	-0.41075	-0.411137	0.000336333
33	-0.409458	-0.411086	0.000329968
34	-0.414019	-0.411173	0.000331347
35	-0.411407	-0.411179	0.000321947
36	-0.410369	-0.411157	0.000313789
37	-0.407015	-0.411045	0.000324663
38	-0.409698	-0.411009	0.000318049
39	-0.411851	-0.411031	0.000310626
40	-0.40814	-0.410959	0.000311155
41	-0.411725	-0.410977	0.000304127
42	-0.41012	-0.410957	0.00029757
43	-0.408727	-0.410905	0.000295135
44	-0.407673	-0.410832	0.000297428
45	-0.411686	-0.410851	0.000291425
46	-0.412557	-0.410888	0.000287441
47	-0.411096	-0.410892	0.00028136
48	-0.413559	-0.410948	0.00028093
49	-0.411155	-0.410952	0.000275228
50	-0.40916	-0.410916	0.000272047
51	-0.412441	-0.410946	0.00026835
52	-0.410715	-0.410942	0.000263226
53	-0.412231	-0.410966	0.000259381
54	-0.408697	-0.410924	0.000257958
55	-0.409334	-0.410895	0.000254882
56	-0.411396	-0.410904	0.000250488
57	-0.414071	-0.410959	0.000252182
58	-0.411989	-0.410977	0.000248458
59	-0.410478	-0.410969	0.000244391
60	-0.412316	-0.410991	0.000241347
61	-0.414719	-0.411052	0.000245007
62	-0.410658	-0.411046	0.000241138
63	-0.41271	-0.411072	0.000238753
64	-0.411875	-0.411085	0.000235352
65	-0.412394	-0.411105	0.000232592
66	-0.412331	-0.411124	0.000229808
67	-0.407782	-0.411074	0.000231728
68	-0.409569	-0.411052	0.000229373
69	-0.411709	-0.411061	0.000226247
70	-0.41216	-0.411077	0.000223559
71	-0.410839	-0.411074	0.000220435
72	-0.4117	-0.411082	0.000217545
73	-0.413363	-0.411113	0.000216797
74	-0.412407	-0.411131	0.000214571
75	-0.408339	-0.411094	0.000214916
76	-0.412421	-0.411111	0.000212797
77	-0.410171	-0.411099	0.000210384
78	-0.40865	-0.411068	0.000210016
79	-0.409748	-0.411051	0.000208021
80	-0.411019	-0.41105	0.000205421
81	-0.410034	-0.411038	0.000203268
82	-0.410715	-0.411034	0.000200827
83	-0.410248	-0.411025	0.000198631
84	-0.408629	-0.410996	0.000198302
85	-0.41097	-0.410996	0.00019597
86	-0.413415	-0.411024	0.0001957
87	-0.410892	-0.411022	0.000193456
88	-0.408659	-0.410995	0.000193112
89	-0.408705	-0.41097	0.00019265
90	-0.409381	-0.410952	0.000191316
91	-0.407385	-0.410913	0.000193188
92	-0.411331	-0.410917	0.000191142
93	-0.406476	-0.41087	0.000194962
94	-0.409534	-0.410855	0.000193405
95	-0.413373	-0.410882	0.000193176
96	-0.40809	-0.410853	0.00019334
97	-0.410659	-0.410851	0.000191357
98	-0.410363	-0.410846	0.000189469
99	-0.409711	-0.410834	0.000187901
100	-0.412244	-0.410849	0.000186551
