#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0599031	0.0599031	0
2	0.0598995	0.0599013	1.24849e-06
3	0.0599017	0.0599014	8.41218e-07
4	0.0599012	0.0599014	6.33673e-07
5	0.0599025	0.0599016	5.44003e-07
6	0.0598993	0.0599012	5.67671e-07
7	0.0599018	0.0599013	4.92104e-07
8	0.0599026	0.0599015	4.55726e-07
9	0.0599008	0.0599014	4.10852e-07
10	0.0599022	0.0599015	3.78703e-07
11	0.0599014	0.0599015	3.44311e-07
12	0.0599037	0.0599016	3.62545e-07
13	0.0599042	0.0599018	3.85083e-07
14	0.0599006	0.0599018	3.67325e-07
15	0.0599023	0.0599018	3.44716e-07
16	0.0599022	0.0599018	3.24166e-07
17	0.0598982	0.0599016	3.67792e-07
18	0.0598985	0.0599014	3.86015e-07
19	0.0599011	0.0599014	3.66058e-07
20	0.0599006	0.0599014	3.50289e-07
21	0.0599019	0.0599014	3.3436e-07
22	0.0599012	0.0599014	3.19235e-07
23	0.0599018	0.0599014	3.05886e-07
24	0.0599013	0.0599014	2.93203e-07
25	0.0599027	0.0599015	2.85704e-07
26	0.0599028	0.0599015	2.79058e-07
27	0.0599019	0.0599015	2.69187e-07
28	0.0598994	0.0599014	2.69704e-07
29	0.0599021	0.0599015	2.61477e-07
30	0.0599012	0.0599015	2.52866e-07
31	0.0599035	0.0599015	2.52717e-07
32	0.0599002	0.0599015	2.4836e-07
33	0.0598998	0.0599014	2.45883e-07
34	0.0599037	0.0599015	2.47319e-07
35	0.0599013	0.0599015	2.40294e-07
36	0.0599002	0.0599015	2.36199e-07
37	0.0599036	0.0599015	2.36614e-07
38	0.0599016	0.0599015	2.30391e-07
39	0.059901	0.0599015	2.24923e-07
40	0.0599051	0.0599016	2.36365e-07
41	0.0599009	0.0599016	2.31137e-07
42	0.0599031	0.0599016	2.2844e-07
43	0.0599005	0.0599016	2.24584e-07
44	0.059902	0.0599016	2.19668e-07
45	0.0599021	0.0599016	2.1502e-07
46	0.0598991	0.0599016	2.17295e-07
47	0.0599014	0.0599015	2.12712e-07
48	0.0599027	0.0599016	2.0969e-07
49	0.0599014	0.0599016	2.0543e-07
50	0.059903	0.0599016	2.03344e-07
51	0.0599017	0.0599016	1.99368e-07
52	0.0599007	0.0599016	1.96352e-07
53	0.0599017	0.0599016	1.9267e-07
54	0.0599031	0.0599016	1.91039e-07
55	0.0599043	0.0599017	1.93775e-07
56	0.0599011	0.0599017	1.9058e-07
57	0.0599003	0.0599016	1.88654e-07
58	0.0599017	0.0599016	1.85402e-07
59	0.0599013	0.0599016	1.82366e-07
60	0.0599023	0.0599016	1.79633e-07
61	0.0599008	0.0599016	1.77235e-07
62	0.0599019	0.0599016	1.74447e-07
63	0.059902	0.0599016	1.71771e-07
64	0.0599001	0.0599016	1.70845e-07
65	0.0599031	0.0599016	1.69839e-07
66	0.0599024	0.0599016	1.6763e-07
67	0.0599006	0.0599016	1.6584e-07
68	0.0599004	0.0599016	1.64365e-07
69	0.059901	0.0599016	1.62204e-07
70	0.0599015	0.0599016	1.5989e-07
71	0.0599033	0.0599016	1.59343e-07
72	0.0599038	0.0599017	1.59905e-07
73	0.059901	0.0599016	1.57998e-07
74	0.0599018	0.0599016	1.55885e-07
75	0.0599017	0.0599016	1.53812e-07
76	0.0599003	0.0599016	1.52753e-07
77	0.0598998	0.0599016	1.52676e-07
78	0.0599031	0.0599016	1.519e-07
79	0.0598991	0.0599016	1.53291e-07
80	0.0599017	0.0599016	1.51377e-07
81	0.0599018	0.0599016	1.49524e-07
82	0.0599017	0.0599016	1.47704e-07
83	0.0599014	0.0599016	1.4594e-07
84	0.0599009	0.0599016	1.44423e-07
85	0.0599026	0.0599016	1.43211e-07
86	0.0599044	0.0599016	1.45134e-07
87	0.0598999	0.0599016	1.44824e-07
88	0.0599007	0.0599016	1.43565e-07
89	0.0599023	0.0599016	1.42148e-07
90	0.0599012	0.0599016	1.40643e-07
91	0.0599004	0.0599016	1.39758e-07
92	0.0599012	0.0599016	1.38288e-07
93	0.0599039	0.0599016	1.39059e-07
94	0.0599048	0.0599016	1.41679e-07
95	0.0598996	0.0599016	1.41855e-07
96	0.0599017	0.0599016	1.40382e-07
97	0.0599007	0.0599016	1.39244e-07
98	0.0598993	0.0599016	1.39847e-07
99	0.059902	0.0599016	1.38511e-07
100	0.0598984	0.0599016	1.40864e-07
