#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.38887	1.38887	0
2	1.3882	1.38853	0.000237409
3	1.38923	1.38876	0.000246906
4	1.38675	1.38826	0.000474301
5	1.39186	1.38898	0.000748102
6	1.38762	1.38875	0.000656781
7	1.38667	1.38846	0.000626752
8	1.39274	1.38899	0.00074244
9	1.38719	1.38879	0.000686305
10	1.38897	1.38881	0.000617914
11	1.39133	1.38904	0.00060266
12	1.38887	1.38902	0.0005526
13	1.39154	1.38922	0.000543036
14	1.38666	1.38904	0.000533995
15	1.38991	1.38909	0.000501577
16	1.38553	1.38887	0.000517416
17	1.38542	1.38867	0.000525283
18	1.38836	1.38865	0.000496376
19	1.3873	1.38858	0.000475334
20	1.38762	1.38853	0.000453978
21	1.38796	1.3885	0.000433181
22	1.39034	1.38859	0.000421464
23	1.38996	1.38865	0.000407361
24	1.38889	1.38866	0.000390513
25	1.39231	1.3888	0.000401244
26	1.38919	1.38882	0.000386088
27	1.38736	1.38876	0.000375557
28	1.38911	1.38878	0.000362342
29	1.38836	1.38876	0.000350139
30	1.388	1.38874	0.000339395
31	1.39226	1.38885	0.00034695
32	1.38925	1.38886	0.000336333
33	1.39054	1.38891	0.000329968
34	1.38598	1.38883	0.000331347
35	1.38859	1.38882	0.000321947
36	1.38963	1.38884	0.000313789
37	1.39299	1.38896	0.000324663
38	1.3903	1.38899	0.000318049
39	1.38815	1.38897	0.000310626
40	1.39186	1.38904	0.000311155
41	1.38827	1.38902	0.000304127
42	1.38988	1.38904	0.00029757
43	1.39127	1.38909	0.000295135
44	1.39233	1.38917	0.000297428
45	1.38831	1.38915	0.000291425
46	1.38744	1.38911	0.000287441
47	1.3889	1.38911	0.00028136
48	1.38644	1.38905	0.00028093
49	1.38885	1.38905	0.000275228
50	1.39084	1.38908	0.000272047
51	1.38756	1.38905	0.00026835
52	1.38928	1.38906	0.000263226
53	1.38777	1.38903	0.000259381
54	1.3913	1.38908	0.000257958
55	1.39067	1.38911	0.000254882
56	1.3886	1.3891	0.000250488
57	1.38593	1.38904	0.000252182
58	1.38801	1.38902	0.000248458
59	1.38952	1.38903	0.000244391
60	1.38768	1.38901	0.000241347
61	1.38528	1.38895	0.000245007
62	1.38934	1.38895	0.000241138
63	1.38729	1.38893	0.000238753
64	1.38813	1.38892	0.000235352
65	1.38761	1.38889	0.000232592
66	1.38767	1.38888	0.000229808
67	1.39222	1.38893	0.000231728
68	1.39043	1.38895	0.000229373
69	1.38829	1.38894	0.000226247
70	1.38784	1.38892	0.000223559
71	1.38916	1.38893	0.000220435
72	1.3883	1.38892	0.000217545
73	1.38664	1.38889	0.000216797
74	1.38759	1.38887	0.000214571
75	1.39166	1.38891	0.000214916
76	1.38758	1.38889	0.000212797
77	1.38983	1.3889	0.000210384
78	1.39135	1.38893	0.000210016
79	1.39025	1.38895	0.000208021
80	1.38898	1.38895	0.000205421
81	1.38997	1.38896	0.000203268
82	1.38928	1.38897	0.000200827
83	1.38975	1.38898	0.000198631
84	1.39137	1.389	0.000198302
85	1.38903	1.389	0.00019597
86	1.38659	1.38898	0.0001957
87	1.38911	1.38898	0.000193456
88	1.39134	1.389	0.000193112
89	1.3913	1.38903	0.00019265
90	1.39062	1.38905	0.000191316
91	1.39262	1.38909	0.000193188
92	1.38867	1.38908	0.000191142
93	1.39352	1.38913	0.000194962
94	1.39047	1.38914	0.000193405
95	1.38663	1.38912	0.000193176
96	1.39191	1.38915	0.00019334
97	1.38934	1.38915	0.000191357
98	1.38964	1.38915	0.000189469
99	1.39029	1.38917	0.000187901
100	1.38776	1.38915	0.000186551
