#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.413329	-0.413329	0
2	-0.411838	-0.412584	0.000527406
3	-0.405566	-0.410244	0.00194211
4	-0.412654	-0.410847	0.00154718
5	-0.4131	-0.411297	0.00130171
6	-0.409417	-0.410984	0.00112185
7	-0.410044	-0.41085	0.000969582
8	-0.413415	-0.41117	0.00089987
9	-0.407349	-0.410746	0.000894444
10	-0.406613	-0.410333	0.000895387
11	-0.413513	-0.410622	0.000859403
12	-0.412809	-0.410804	0.000806889
13	-0.41122	-0.410836	0.000745455
14	-0.410971	-0.410846	0.00069227
15	-0.405194	-0.410469	0.000741602
16	-0.414181	-0.410701	0.000730639
17	-0.412232	-0.410791	0.000693188
18	-0.41459	-0.411002	0.000686063
19	-0.40615	-0.410747	0.000695853
20	-0.408129	-0.410616	0.000673258
