#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0599021	0.0599021	0
2	0.0599039	0.059903	6.18624e-07
3	0.0598996	0.0599019	1.02337e-06
4	0.0599011	0.0599017	7.85423e-07
5	0.0599004	0.0599014	6.69764e-07
6	0.0599026	0.0599016	5.88161e-07
7	0.0598988	0.0599012	6.28682e-07
8	0.059898	0.0599008	6.69018e-07
9	0.0599026	0.059901	6.23809e-07
10	0.0599006	0.059901	5.62453e-07
11	0.059898	0.0599007	5.73774e-07
12	0.0599008	0.0599007	5.26028e-07
13	0.0599055	0.0599011	6.00876e-07
14	0.0599047	0.0599013	6.10023e-07
15	0.0599021	0.0599014	5.7143e-07
16	0.0598984	0.0599012	5.66168e-07
17	0.0599028	0.0599013	5.40251e-07
18	0.0598976	0.0599011	5.48184e-07
19	0.0599039	0.0599012	5.392e-07
20	0.059906	0.0599015	5.62685e-07
