#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.38667	1.38667	0
2	1.38816	1.38742	0.000527406
3	1.39443	1.38976	0.00194211
4	1.38735	1.38915	0.00154718
5	1.3869	1.3887	0.00130171
6	1.39058	1.38902	0.00112185
7	1.38996	1.38915	0.000969582
8	1.38658	1.38883	0.00089987
9	1.39265	1.38925	0.000894444
10	1.39339	1.38967	0.000895387
11	1.38649	1.38938	0.000859403
12	1.38719	1.3892	0.000806889
13	1.38878	1.38916	0.000745455
14	1.38903	1.38915	0.00069227
15	1.39481	1.38953	0.000741602
16	1.38582	1.3893	0.000730639
17	1.38777	1.38921	0.000693188
18	1.38541	1.389	0.000686063
19	1.39385	1.38925	0.000695853
20	1.39187	1.38938	0.000673258
