#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0	0
0.452431	0	0
0.517064	0	0
0.581697	0	0
0.64633	0	0
0.710963	0	0
0.775596	0	0
0.84023	0	3.33718e-05
0.904863	0	0.000392057
0.969496	0.908403	0.000986389
1.03413	2.80582	0.00129166
1.09876	1.42537	0.00128067
1.16339	3.1887	0.00116114
1.22803	1.43505	0.00102956
1.29266	2.85668	0.000921309
1.35729	1.41664	0.000832605
1.42193	1.72471	0.000762467
1.48656	1.1858	0.000706683
1.55119	1.81832	0.000660252
1.61583	1.17496	0.000620739
1.68046	0.932547	0.000590203
1.74509	0.865966	0.000562988
1.80973	1.34378	0.000539819
1.87436	1.25423	0.000519091
1.93899	1.17334	0.000501558
2.00362	1.10003	0.000486357
2.06826	0.826707	0.00047091
2.13289	1.06988	0.000455545
2.19752	0.550231	0.000440476
2.26216	0.433059	0.000428218
2.32679	1.22897	0.000414157
2.39142	1.31954	0.000401501
2.45606	1.03097	0.000389927
2.52069	0.90947	0.000379869
2.58532	0.99821	0.000370292
2.64995	1.01406	0.000359851
2.71459	0.241727	0.00035106
2.77922	0.807594	0.00034239
2.84385	0.881951	0.000333277
2.90849	0.527257	0.000326581
2.97312	0.706754	0.000318915
3.03775	1.06434	0.000311715
3.10239	0.696073	0.000305088
3.16702	1.15827	0.000299198
3.23165	0.898845	0.000293065
3.29629	1.19353	0.000286468
3.36092	0.792065	0.000281377
3.42555	0.991553	0.000275722
3.49018	1.1025	0.000270649
3.55482	0.992254	0.000265916
3.61945	1.26519	0.000260889
3.68408	1.22157	0.00025599
3.74872	0.733615	0.00025175
3.81335	0.709163	0.000247131
3.87798	0.894671	0.000242903
3.94262	1.21214	0.000239031
4.00725	0.950106	0.000235278
4.07188	1.08284	0.000231082
4.13651	1.07577	0.00022813
4.20115	0.814182	0.000224427
4.26578	1.03672	0.000220569
4.33041	0.958312	0.00021767
4.39505	0.930537	0.000214147
4.45968	0.994347	0.00021085
4.52431	1.09811	0.000207879
4.58895	1.00356	0.000204851
4.65358	1.12143	0.000201888
4.71821	0.909272	0.000199243
4.78285	0.767023	0.000196832
4.84748	1.05323	0.000193695
4.91211	1.19375	0.000191552
4.97674	1.09045	0.000188646
5.04138	1.04513	0.000186336
5.10601	0.86356	0.000183359
5.17064	1.09491	0.000181687
5.23528	1.26541	0.000179245
5.29991	1.23492	0.00017743
5.36454	1.01765	0.000174864
5.42918	1.07014	0.000172626
5.49381	0.955664	0.000170617
5.55844	0.72945	0.000168608
5.62307	1.02654	0.000166667
5.68771	1.17071	0.000164599
5.75234	0.940288	0.000163175
5.81697	1.11954	0.000161298
5.88161	0.795327	0.000159364
5.94624	0.893044	0.000157744
6.01087	0.973935	0.000155975
6.07551	1.00233	0.000154397
6.14014	0.969476	0.00015267
6.20477	0.902599	0.000151237
6.2694	0.907145	0.00014949
6.33404	1.05758	0.000148203
6.39867	1.05848	0.000146471
