#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0335717	0.0335717	0
2	0.0354282	0.0344999	0.000656344
3	0.035677	0.0348923	0.000542293
4	0.0364155	0.0352731	0.000523628
5	0.0348004	0.0351786	0.000427353
6	0.0368521	0.0354575	0.000437789
7	0.0353487	0.0354419	0.000375524
8	0.0376333	0.0357159	0.000416679
9	0.0353503	0.0356752	0.000372355
10	0.0355855	0.0356663	0.000335228
11	0.0351879	0.0356228	0.000307561
12	0.0369032	0.0357295	0.000299868
13	0.0354101	0.0357049	0.000277806
14	0.036065	0.0357306	0.00025915
15	0.0362394	0.0357645	0.000244083
16	0.0361245	0.035787	0.000229862
17	0.0358465	0.0357905	0.000216367
18	0.0358123	0.0357918	0.00020435
19	0.0348161	0.0357404	0.000199943
20	0.0351772	0.0357122	0.000191918
