#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
15	0.5597	0.570741	0.00638876
1	0.409965	0.409965	0
16	0.554779	0.569743	0.00606686
5	1.23098	1.21216	0.00867356
2	0.408602	0.409284	0.000481921
17	0.566188	0.569534	0.00571359
6	1.23276	1.21559	0.00787865
18	0.552246	0.568574	0.00547629
3	0.408898	0.409155	0.000338001
19	0.562154	0.568236	0.00519848
4	0.408127	0.408898	0.000337393
7	1.24342	1.21957	0.0076912
20	0.562762	0.567962	0.00494575
5	0.409619	0.409042	0.000299172
6	0.409039	0.409042	0.00024931
7	0.408765	0.409002	0.000216792
