N_BLOCK:	ACCEPTANCE:
23	0.630542
1	1
3	0.496068
24	0.630532
2	1
25	0.630617
3	1
4	0.496316
4	1
11	0.509306
26	0.630654
5	0.495983
5	1
27	0.630605
6	1
12	0.50953
6	0.495927
28	0.630592
7	1
13	0.50952
8	1
29	0.630609
7	0.496009
9	1
30	0.630627
14	0.509534
10	1
8	0.496099
31	0.630717
11	1
15	0.509595
12	1
32	0.630745
9	0.496051
13	1
33	0.630787
16	0.509779
14	1
10	0.496074
34	0.630758
15	1
17	0.50973
11	0.496097
16	1
35	0.630796
17	1
18	0.509784
36	0.630779
12	0.496265
18	1
37	0.630839
19	1
19	0.509847
13	0.496344
38	0.630871
20	1
20	0.509819
14	0.496354
39	0.630823
40	0.630853
21	0.509867
15	0.496377
22	0.509864
23	0.509863
