#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	0	0
0.872088	0	0
0.897737	0	0
0.923387	0.0027365	0.000406217
0.949037	0.0442648	0.00193501
0.974686	0.275868	0.00623406
1.00034	0.850229	0.019429
1.02599	1.66139	0.0363168
1.05164	2.43763	0.0386071
1.07728	2.91687	0.0365624
1.10293	3.03928	0.0255868
1.12858	2.90275	0.0195856
1.15423	2.65655	0.0207885
1.17988	2.35034	0.0346956
1.20553	2.0679	0.0429286
1.23118	1.75541	0.0302367
1.25683	1.51016	0.0289427
1.28248	1.30499	0.024969
1.30813	1.1156	0.0188703
1.33378	0.95404	0.0137867
1.35943	0.85082	0.0104949
1.38508	0.775446	0.0109851
1.41073	0.703428	0.00874435
1.43638	0.642832	0.00720854
1.46203	0.601443	0.00768492
1.48768	0.582288	0.00922082
1.51333	0.563019	0.00998211
1.53898	0.548484	0.0109418
1.56463	0.540161	0.00927296
1.59028	0.548204	0.00865391
1.61593	0.564907	0.00893746
1.64158	0.57976	0.00894874
1.66723	0.592041	0.0108157
1.69288	0.622954	0.0141454
1.71853	0.653674	0.0113567
1.74418	0.679391	0.0117272
1.76983	0.711947	0.0146168
1.79547	0.755239	0.0162805
1.82112	0.826258	0.014447
1.84677	0.900756	0.0137723
1.87242	0.966861	0.00945129
1.89807	1.05611	0.00935696
1.92372	1.13375	0.00900114
1.94937	1.19628	0.0113411
1.97502	1.24976	0.0111116
2.00067	1.28899	0.011585
2.02632	1.3203	0.0153762
2.05197	1.34984	0.018223
2.07762	1.3622	0.027931
2.10327	1.33887	0.0158129
2.12892	1.31742	0.0109569
2.15457	1.28707	0.00706569
2.18022	1.24286	0.0065282
2.20587	1.21543	0.00696235
2.23152	1.16653	0.00795018
2.25717	1.11203	0.00706104
2.28282	1.05344	0.00909942
2.30847	1.00465	0.00867105
2.33412	0.970737	0.00760609
2.35977	0.932782	0.00678177
2.38542	0.915651	0.00913279
2.41107	0.901178	0.00822584
2.43672	0.879827	0.00655619
2.46237	0.866563	0.00412366
2.48802	0.85994	0.00607531
2.51366	0.869318	0.00556061
2.53931	0.867589	0.00380482
