#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
23	1.8	1.8	6.21421e-09
1	0.80662	0.80662	0
3	1.2	1.2	8.60319e-09
24	1.8	1.8	9.61866e-09
2	0.816794	0.811707	0.00359697
25	1.8	1.8	9.42432e-09
3	0.797407	0.80694	0.00457133
4	1.2	1.2	0
4	0.795477	0.804074	0.00423248
11	1.65	1.65	1.55638e-08
26	1.8	1.8	1.01233e-08
5	1.2	1.2	0
5	0.796408	0.802541	0.00365319
27	1.8	1.8	1.14709e-08
6	0.804026	0.802788	0.00305269
12	1.65	1.65	1.49012e-08
6	1.2	1.2	6.08337e-09
28	1.8	1.8	1.19475e-08
7	0.818372	0.805015	0.00333087
13	1.65	1.65	1.43166e-08
8	0.79398	0.803635	0.00318733
29	1.8	1.8	1.17397e-08
7	1.2	1.2	5.63211e-09
9	0.783213	0.801366	0.00355018
30	1.8	1.8	1.27606e-08
14	1.65	1.65	1.37958e-08
10	0.802341	0.801464	0.0031965
8	1.2	1.2	5.26836e-09
31	1.8	1.8	1.31113e-08
11	0.784193	0.799894	0.00326885
15	1.65	1.65	1.3328e-08
12	0.779488	0.798193	0.00341017
32	1.8	1.8	1.29048e-08
9	1.2	1.2	4.96705e-09
13	0.727728	0.792773	0.00608521
33	1.8	1.8	1.27078e-08
16	1.65	1.65	1.29048e-08
14	0.730684	0.788338	0.00708463
10	1.2	1.2	4.71216e-09
34	1.8	1.8	1.30307e-08
15	0.744567	0.78542	0.00718819
17	1.65	1.65	1.25195e-08
11	1.2	1.2	4.49287e-09
16	0.725808	0.781694	0.00764373
35	1.8	1.8	1.3328e-08
17	0.733167	0.77884	0.00770871
18	1.65	1.65	1.21667e-08
36	1.8	1.8	1.26636e-08
12	1.2	1.2	4.30159e-09
18	0.711977	0.775125	0.0081263
37	1.8	1.8	1.24913e-08
19	0.714371	0.771927	0.0083039
19	1.65	1.65	1.18422e-08
13	1.2	1.2	4.13284e-09
38	1.8	1.8	1.23258e-08
20	0.720169	0.76934	0.00828216
20	1.65	1.65	9.42432e-09
14	1.2	1.2	3.9825e-09
39	1.8	1.8	1.2626e-08
40	1.8	1.8	1.24672e-08
21	1.65	1.65	9.1972e-09
15	1.2	1.2	6.664e-09
22	1.65	1.65	1.10052e-08
23	1.65	1.65	1.07633e-08
