#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
23	-0.410036	-0.411352	0.000407361
1	-5.72793	-5.72793	0
3	-6.68743	-6.68798	0.000879224
24	-0.41111	-0.411342	0.000390513
2	-5.73805	-5.73299	0.0035785
25	-0.407693	-0.411196	0.000401244
3	-5.72017	-5.72872	0.00422613
4	-6.68987	-6.68845	0.000776737
4	-5.71868	-5.72621	0.00384391
11	-5.03603	-5.03318	0.00229841
26	-0.410809	-0.411181	0.000386088
5	-6.68126	-6.68701	0.00142842
5	-5.7181	-5.72459	0.00340034
27	-0.412641	-0.411235	0.000375557
6	-5.72642	-5.72489	0.00284728
12	-5.04096	-5.03382	0.00219638
6	-6.68589	-6.68683	0.00120259
28	-0.410894	-0.411223	0.000362342
7	-5.73939	-5.72696	0.00310348
13	-5.03402	-5.03384	0.00202748
8	-5.71692	-5.72571	0.00295862
29	-0.411645	-0.411238	0.000350139
7	-6.67917	-6.68573	0.00144517
9	-5.70505	-5.72341	0.00340544
30	-0.412003	-0.411263	0.000339395
14	-5.03845	-5.03417	0.00190918
10	-5.72575	-5.72365	0.00307295
8	-6.67976	-6.68499	0.00144481
31	-0.40774	-0.41115	0.00034695
11	-5.70827	-5.72225	0.00309519
15	-5.03032	-5.03391	0.00179908
12	-5.70094	-5.72047	0.00330771
32	-0.41075	-0.411137	0.000336333
9	-6.68343	-6.68481	0.00129462
13	-5.65168	-5.71518	0.00593065
33	-0.409458	-0.411086	0.000329968
16	-5.0558	-5.03528	0.00214442
14	-5.65272	-5.71072	0.00698639
10	-6.6828	-6.68461	0.00118071
34	-0.414019	-0.411173	0.000331347
15	-5.66744	-5.70783	0.00709151
17	-5.03708	-5.03539	0.00202089
11	-6.69514	-6.68557	0.00140915
16	-5.64721	-5.70404	0.00759343
35	-0.411407	-0.411179	0.000321947
17	-5.65464	-5.70114	0.00768278
18	-5.04477	-5.03591	0.00197472
36	-0.410369	-0.411157	0.000313789
12	-6.68935	-6.68588	0.0013264
18	-5.63338	-5.69737	0.00812607
37	-0.407015	-0.411045	0.000324663
19	-5.63435	-5.69406	0.00834792
19	-5.04734	-5.03651	0.00196029
13	-6.69121	-6.68629	0.00128613
38	-0.409698	-0.411009	0.000318049
20	-5.64111	-5.69141	0.00833974
20	-5.03627	-5.0365	0.00186231
14	-6.69197	-6.6867	0.00125649
39	-0.411851	-0.411031	0.000310626
40	-0.40814	-0.410959	0.000311155
21	-5.03522	-5.03644	0.00177462
15	-6.69424	-6.6872	0.0012692
22	-5.03265	-5.03626	0.00170227
23	-5.04295	-5.03655	0.00165286
