#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
23	0.0599018	0.0599014	3.05886e-07
1	0.408242	0.408242	0
3	0.959499	0.959464	4.35842e-05
24	0.0599013	0.0599014	2.93203e-07
2	0.413513	0.410878	0.00186381
25	0.0599027	0.0599015	2.85704e-07
3	0.404106	0.40862	0.00222274
4	0.95939	0.959446	3.64027e-05
4	0.403974	0.407459	0.00194704
11	0.891384	0.891329	0.000100143
26	0.0599028	0.0599015	2.79058e-07
5	0.959812	0.959519	7.16934e-05
5	0.404815	0.40693	0.00162784
27	0.0599019	0.0599015	2.69187e-07
6	0.407195	0.406974	0.00135713
12	0.890809	0.891286	0.000100765
6	0.959584	0.95953	6.05532e-05
28	0.0598994	0.0599014	2.69704e-07
7	0.414265	0.408016	0.00151097
13	0.891374	0.891293	9.32402e-05
8	0.402551	0.407333	0.0014684
29	0.0599021	0.0599015	2.61477e-07
7	0.959919	0.959585	7.3162e-05
9	0.397586	0.40625	0.00165716
30	0.0599012	0.0599015	2.52866e-07
14	0.891088	0.891278	8.77206e-05
10	0.405981	0.406223	0.00149166
8	0.959874	0.959621	7.23447e-05
31	0.0599035	0.0599015	2.52717e-07
11	0.397485	0.405429	0.00155324
15	0.891415	0.891287	8.23468e-05
12	0.397459	0.404764	0.00155933
32	0.0599002	0.0599015	2.4836e-07
9	0.95969	0.959629	6.47071e-05
13	0.371197	0.402182	0.00286815
33	0.0598998	0.0599014	2.45883e-07
16	0.890385	0.891231	9.4546e-05
14	0.373037	0.400101	0.00333428
10	0.959736	0.95964	5.91226e-05
34	0.0599037	0.0599015	2.47319e-07
15	0.380609	0.398801	0.00335566
17	0.891194	0.891229	8.90095e-05
11	0.959086	0.959589	7.20842e-05
16	0.371052	0.397067	0.00356606
35	0.0599013	0.0599015	2.40294e-07
17	0.375718	0.395811	0.00357057
18	0.890848	0.891208	8.65472e-05
36	0.0599002	0.0599015	2.36199e-07
12	0.959416	0.959575	6.7515e-05
18	0.365081	0.394104	0.00375824
37	0.0599036	0.0599015	2.36614e-07
19	0.365626	0.392605	0.00384772
19	0.89062	0.891177	8.73389e-05
13	0.959304	0.959554	6.5462e-05
38	0.0599016	0.0599015	2.30391e-07
20	0.368762	0.391413	0.00383557
20	0.891344	0.891185	8.33719e-05
14	0.959253	0.959533	6.42229e-05
39	0.059901	0.0599015	2.24923e-07
40	0.0599051	0.0599016	2.36365e-07
21	0.89109	0.891181	7.95255e-05
15	0.959153	0.959507	6.47445e-05
22	0.891303	0.891186	7.61046e-05
23	0.890843	0.891171	7.42475e-05
