#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
23	1.38996	1.38865	0.000407361
1	-4.92131	-4.92131	0
3	-5.48743	-5.48798	0.000879224
24	1.38889	1.38866	0.000390513
2	-4.92126	-4.92129	1.84699e-05
25	1.39231	1.3888	0.000401244
3	-4.92277	-4.92178	0.000403694
4	-5.48987	-5.48845	0.000776737
4	-4.9232	-4.92213	0.000431241
11	-3.38603	-3.38318	0.00229841
26	1.38919	1.38882	0.000386088
5	-5.48126	-5.48701	0.00142842
5	-4.92169	-4.92205	0.000354078
27	1.38736	1.38876	0.000375557
6	-4.92239	-4.9221	0.000299742
12	-3.39096	-3.38382	0.00219638
6	-5.48589	-5.48683	0.00120259
28	1.38911	1.38878	0.000362342
7	-4.92101	-4.92195	0.000294509
13	-3.38402	-3.38384	0.00202748
8	-4.92294	-4.92207	0.000282522
29	1.38836	1.38876	0.000350139
7	-5.47917	-5.48573	0.00144517
9	-4.92184	-4.92205	0.000252287
30	1.388	1.38874	0.000339395
14	-3.38845	-3.38417	0.00190918
10	-4.92341	-4.92218	0.000261527
8	-5.47976	-5.48499	0.00144481
31	1.39226	1.38885	0.00034695
11	-4.92408	-4.92235	0.000289001
15	-3.38032	-3.38391	0.00179908
12	-4.92145	-4.92228	0.000274576
32	1.38925	1.38886	0.000336333
9	-5.48343	-5.48481	0.00129462
13	-4.92395	-4.92241	0.000281924
33	1.39054	1.38891	0.000329968
16	-3.4058	-3.38528	0.00214442
14	-4.92204	-4.92238	0.00026303
10	-5.4828	-5.48461	0.00118071
34	1.38598	1.38883	0.000331347
15	-4.92287	-4.92241	0.000247503
17	-3.38708	-3.38539	0.00202089
11	-5.49514	-5.48557	0.00140915
16	-4.9214	-4.92235	0.000240032
35	1.38859	1.38882	0.000321947
17	-4.92147	-4.9223	0.00023139
18	-3.39477	-3.38591	0.00197472
36	1.38963	1.38884	0.000313789
12	-5.48935	-5.48588	0.0013264
18	-4.9214	-4.92225	0.000223847
37	1.39299	1.38896	0.000324663
19	-4.91998	-4.92213	0.000241773
19	-3.39734	-3.38651	0.00196029
13	-5.49121	-5.48629	0.00128613
38	1.3903	1.38899	0.000318049
20	-4.92094	-4.92207	0.00023688
20	-3.38627	-3.3865	0.00186231
14	-5.49197	-5.4867	0.00125649
39	1.38815	1.38897	0.000310626
40	1.39186	1.38904	0.000311155
21	-3.38522	-3.38644	0.00177462
15	-5.49424	-5.4872	0.0012692
22	-3.38265	-3.38626	0.00170227
23	-3.39295	-3.38655	0.00165286
