#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
8	0.410127	0.409143	0.000230825
13	0.555929	0.572526	0.00724567
1	1.2	1.2	0
5	1.23098	1.21216	0.00867356
2	1.2	1.2	0
9	0.407141	0.40892	0.000293387
14	0.558579	0.571529	0.00679625
3	1.2	1.2	0
10	0.410286	0.409057	0.000294107
4	1.2	1.2	0
6	1.23276	1.21559	0.00787865
15	0.5597	0.570741	0.00638876
5	1.2	1.2	0
11	0.408019	0.408963	0.000282088
6	1.2	1.2	8.60319e-09
16	0.554779	0.569743	0.00606686
7	1.2	1.2	7.96501e-09
12	0.408476	0.408922	0.000261481
7	1.24342	1.21957	0.0076912
8	1.2	1.2	7.45058e-09
17	0.566188	0.569534	0.00571359
9	1.2	1.2	7.02447e-09
13	0.408766	0.40891	0.000241642
10	1.2	1.2	6.664e-09
18	0.552246	0.568574	0.00547629
8	1.26917	1.22577	0.0088843
11	1.2	1.2	6.35388e-09
14	0.409086	0.408923	0.000224707
12	1.2	1.2	6.08337e-09
19	0.562154	0.568236	0.00519848
13	1.2	1.2	5.84472e-09
15	0.411056	0.409065	0.000250725
14	1.2	1.2	5.63211e-09
9	1.2377	1.22709	0.00799541
16	0.406709	0.408918	0.000274914
20	0.562762	0.567962	0.00494575
15	1.2	1.2	0
16	1.2	1.2	0
17	0.407235	0.408819	0.000275976
17	1.2	1.2	0
10	1.19915	1.2243	0.00766845
18	1.2	1.2	4.96705e-09
18	0.409556	0.40886	0.000263664
19	1.2	1.2	4.83458e-09
19	0.409425	0.408889	0.00025146
11	1.18246	1.2205	0.007858
20	1.2	1.2	4.71216e-09
20	0.407422	0.408816	0.000249358
12	1.2113	1.21973	0.00724045
