#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.90222	-3.90222	0
2	-3.89972	-3.90097	0.000884235
3	-3.90034	-3.90076	0.000614095
4	-3.90105	-3.90083	0.000464742
5	-3.90442	-3.90155	0.000741548
6	-3.90359	-3.90189	0.000691274
7	-3.90049	-3.90169	0.000620697
8	-3.90354	-3.90192	0.000584583
9	-3.90263	-3.902	0.000524916
10	-3.89911	-3.90171	0.000546106
11	-3.9009	-3.90164	0.000501462
12	-3.90265	-3.90172	0.000466728
13	-3.90143	-3.9017	0.000431354
14	-3.90109	-3.90166	0.000402781
15	-3.90005	-3.90155	0.000389903
16	-3.90167	-3.90156	0.000365604
17	-3.90011	-3.90147	0.000353817
18	-3.90169	-3.90148	0.000334363
19	-3.89971	-3.90139	0.000329543
20	-3.90232	-3.90144	0.000316327
