#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.863545	0.863545	0
2	0.823659	0.843602	0.0141018
3	0.809541	0.832248	0.013203
4	0.800549	0.824323	0.012048
5	0.818111	0.823081	0.00970229
6	0.823389	0.823132	0.00808538
7	0.814505	0.8219	0.00702362
8	0.82707	0.822546	0.00617533
9	0.813417	0.821532	0.00557186
10	0.824554	0.821834	0.00502287
11	0.821751	0.821826	0.00456625
12	0.831001	0.822591	0.00424925
13	0.842567	0.824128	0.00419102
14	0.826872	0.824324	0.00389624
15	0.822825	0.824224	0.00363777
16	0.812978	0.823521	0.00347765
17	0.830067	0.823906	0.00329434
18	0.828266	0.824148	0.00312021
19	0.827835	0.824342	0.00296202
20	0.81606	0.823928	0.00284272
