#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.17731	-5.17731	0
2	-5.09907	-5.13819	0.0276623
3	-5.10071	-5.1257	0.0210745
4	-5.1059	-5.12075	0.0163767
5	-5.10898	-5.1184	0.0132696
6	-5.07917	-5.11186	0.0125658
7	-5.08508	-5.10803	0.0113381
34	-0.445864	-0.410983	0.00647935
8	-5.05419	-5.1013	0.0117495
9	-5.06764	-5.09756	0.0110234
35	-0.413423	-0.411053	0.0062946
10	-5.14881	-5.10269	0.0110484
36	-0.363706	-0.409738	0.00625564
11	-5.09441	-5.10193	0.0100696
12	-5.09012	-5.10095	0.00927849
37	-0.380123	-0.408937	0.00613756
13	-5.09591	-5.10056	0.00857285
14	-5.06671	-5.09814	0.0082944
38	-0.415777	-0.409117	0.00597868
15	-5.09035	-5.09762	0.00775769
39	-0.368056	-0.408064	0.00591736
16	-5.08409	-5.09678	0.00731882
17	-5.07961	-5.09577	0.00695766
40	-0.374884	-0.407235	0.00582728
18	-5.05129	-5.0933	0.00699625
19	-5.08448	-5.09283	0.0066434
41	-0.419641	-0.407537	0.005693
20	-5.09037	-5.09271	0.00631237
