#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	0	0
0.872088	0.00288871	0.000185334
0.897737	0.0126453	0.00161012
0.923387	0.145182	0.00348727
0.949037	0.554479	0.00848339
0.974686	1.14835	0.0119317
1.00034	1.82583	0.0220618
1.02599	2.19782	0.0186784
1.05164	2.55604	0.0133797
1.07728	2.57935	0.0124528
1.10293	2.4325	0.0140312
1.12858	2.2253	0.0140769
1.15423	2.01286	0.0153278
1.17988	1.76964	0.0164244
1.20553	1.55106	0.0254889
1.23118	1.38811	0.016035
1.25683	1.20752	0.0117476
1.28248	1.0925	0.00973684
1.30813	1.05049	0.0082424
1.33378	0.969686	0.00751594
1.35943	0.901912	0.0074585
1.38508	0.8266	0.00893001
1.41073	0.844391	0.00850163
1.43638	0.816578	0.00755923
1.46203	0.789958	0.0072945
1.48768	0.74135	0.00678303
1.51333	0.703259	0.00523039
1.53898	0.66896	0.00734412
1.56463	0.629403	0.00784047
1.59028	0.639994	0.00784761
1.61593	0.629146	0.00645451
1.64158	0.728819	0.00665011
1.66723	0.73644	0.00758142
1.69288	0.718198	0.00568075
1.71853	0.772328	0.00630982
1.74418	0.808963	0.00627618
1.76983	0.839715	0.0065758
1.79547	0.856396	0.00631021
1.82112	0.93305	0.00736884
1.84677	0.967569	0.0083026
1.87242	0.970355	0.00688519
1.89807	1.02182	0.00812919
1.92372	1.08505	0.00791987
1.94937	1.11409	0.00716718
1.97502	1.16165	0.00605697
2.00067	1.18038	0.00529918
2.02632	1.16537	0.00655036
2.05197	1.19608	0.00884453
2.07762	1.2073	0.0165152
2.10327	1.19314	0.00755158
2.12892	1.20231	0.00705488
2.15457	1.209	0.00547054
2.18022	1.22097	0.00578746
2.20587	1.12461	0.00401625
2.23152	1.10823	0.00578899
2.25717	1.09097	0.00711342
2.28282	1.04278	0.00576141
2.30847	1.01313	0.00662228
2.33412	1.04005	0.00603475
2.35977	0.988447	0.00581853
2.38542	0.948469	0.00473044
2.41107	0.887749	0.00598874
2.43672	0.910158	0.00485854
2.46237	0.91683	0.0047312
2.48802	0.911818	0.00549043
2.51366	0.908778	0.00493706
2.53931	0.922926	0.00436101
