#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.69729	1.69729	0
42	1.80351	1.82036	0.00556598
2	1.60592	1.6516	0.0323051
43	1.82221	1.82041	0.0054367
3	1.59908	1.63409	0.0258491
4	1.63974	1.63551	0.0194254
44	1.84504	1.82097	0.00534189
5	1.6482	1.63805	0.0157053
6	1.62128	1.63525	0.0133341
45	1.79994	1.8205	0.00524357
7	1.56478	1.62518	0.0147475
46	1.79255	1.81989	0.00516465
8	1.55624	1.61657	0.0152153
9	1.59389	1.61405	0.0137316
47	1.78051	1.81905	0.00512228
10	1.63444	1.61609	0.012509
11	1.58807	1.61354	0.0116283
48	1.80896	1.81884	0.00501988
12	1.60684	1.61298	0.0106726
13	1.61747	1.61333	0.00985721
49	1.77225	1.81789	0.00500668
14	1.62291	1.61401	0.00917686
50	1.78907	1.81732	0.0049396
15	1.59945	1.61304	0.00861628
16	1.62783	1.61396	0.00812722
51	1.82664	1.8175	0.00484613
17	1.59716	1.61298	0.00770903
18	1.57903	1.61109	0.00750787
52	1.85502	1.81822	0.00480636
19	1.60968	1.61102	0.00711309
53	1.85392	1.81889	0.00476265
20	1.63253	1.61209	0.00683829
54	1.86691	1.81978	0.00475673
