N_BLOCK:	ACCEPTANCE:
28	0.630592
1	1
35	1
2	1
29	0.630609
3	1
14	0.496354
36	1
30	0.630627
5	1
4	1
11	0.509306
6	1
15	0.496377
5	1
31	0.630717
37	1
7	1
6	1
32	0.630745
12	0.50953
16	0.496464
8	1
7	1
38	1
33	0.630787
8	1
9	1
13	0.50952
17	0.496466
39	1
9	1
10	1
34	0.630758
10	1
11	1
14	0.509534
35	0.630796
40	1
18	0.496458
11	1
12	1
36	0.630779
12	1
13	1
41	1
15	0.509595
19	0.496467
13	1
37	0.630839
14	1
14	1
42	1
16	0.509779
15	1
20	0.496436
38	0.630871
15	1
16	1
16	1
43	1
39	0.630823
17	0.50973
21	0.496472
17	1
17	1
40	0.630853
18	1
44	1
18	1
18	0.509784
22	0.496506
19	1
41	0.630823
19	1
45	1
20	1
20	1
23	0.496524
42	0.630854
46	1
43	0.630866
24	0.49651
47	1
44	0.630918
25	0.496549
26	0.496612
