#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	0	0
0.872088	0.00166903	7.82447e-05
0.897737	0.0213238	0.000339057
0.923387	0.170597	0.000984302
0.949037	0.555046	0.00182991
0.974686	1.20143	0.00273381
1.00034	1.89855	0.00360472
1.02599	2.30083	0.00397346
1.05164	2.50489	0.00455073
1.07728	2.54136	0.00411309
1.10293	2.45616	0.00409514
1.12858	2.23775	0.00334852
1.15423	1.99046	0.00363085
1.17988	1.74898	0.00341124
1.20553	1.5378	0.00324902
1.23118	1.30385	0.00323448
1.25683	1.22222	0.00312332
1.28248	1.14203	0.00302128
1.30813	1.0317	0.00288555
1.33378	0.963373	0.00259935
1.35943	0.912907	0.00207439
1.38508	0.833703	0.00228958
1.41073	0.763724	0.00214356
1.43638	0.707536	0.00216202
1.46203	0.709513	0.00190374
1.48768	0.696296	0.00194598
1.51333	0.709879	0.00193581
1.53898	0.676657	0.00194188
1.56463	0.674976	0.0019239
1.59028	0.657803	0.00171682
1.61593	0.679501	0.00174735
1.64158	0.702093	0.00186197
1.66723	0.747755	0.00188473
1.69288	0.762999	0.00187103
1.71853	0.792635	0.0019655
1.74418	0.832524	0.00174491
1.76983	0.872007	0.00174182
1.79547	0.884275	0.00205353
1.82112	0.923762	0.00214182
1.84677	0.967797	0.00187496
1.87242	0.981504	0.00219098
1.89807	1.04192	0.002066
1.92372	1.08313	0.00194004
1.94937	1.13473	0.00195903
1.97502	1.15054	0.00167465
2.00067	1.20816	0.00191233
2.02632	1.20419	0.00191477
2.05197	1.2322	0.00193939
2.07762	1.21716	0.00196745
2.10327	1.21163	0.00189004
2.12892	1.19724	0.00166732
2.15457	1.18376	0.00195994
2.18022	1.13435	0.00205997
2.20587	1.10723	0.00211616
2.23152	1.08527	0.00177213
2.25717	1.05257	0.00179895
2.28282	1.02407	0.00170618
2.30847	0.970326	0.00174996
2.33412	0.974041	0.00147654
2.35977	0.966302	0.00148007
2.38542	0.950298	0.00151895
2.41107	0.927579	0.00141348
2.43672	0.928947	0.00141878
2.46237	0.925009	0.00143386
2.48802	0.911001	0.00142415
2.51366	0.912592	0.00134321
2.53931	0.906977	0.00138496
