#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.61524	1.61524	0
2	1.64807	1.63166	0.0116069
3	1.61837	1.62723	0.00854187
4	1.63441	1.62902	0.0065924
5	1.63444	1.63011	0.00536215
6	1.625	1.62926	0.00453555
7	1.63145	1.62957	0.00389845
8	1.63392	1.63011	0.00344889
9	1.62735	1.62981	0.00307929
10	1.60965	1.62779	0.00336728
11	1.62217	1.62728	0.0030997
12	1.62564	1.62714	0.00284442
13	1.62605	1.62706	0.00262686
14	1.6375	1.6278	0.00254298
15	1.63265	1.62813	0.00239391
16	1.64755	1.62934	0.00253348
17	1.65037	1.63058	0.00266927
18	1.65823	1.63211	0.00292981
19	1.60604	1.63074	0.0030802
20	1.63859	1.63113	0.00295109
21	1.63241	1.6312	0.0028112
22	1.63346	1.6313	0.0026853
23	1.62507	1.63103	0.00258218
24	1.61653	1.63042	0.00254426
25	1.6419	1.63088	0.00248354
26	1.63804	1.63116	0.00240322
27	1.62412	1.6309	0.0023283
28	1.60252	1.62988	0.00245586
29	1.6288	1.62985	0.00237146
30	1.63488	1.63001	0.00229833
31	1.63409	1.63015	0.00222794
32	1.62257	1.62991	0.00217085
33	1.63652	1.63011	0.0021143
34	1.62588	1.62998	0.00205576
35	1.61634	1.6296	0.00203366
36	1.62844	1.62956	0.00197742
37	1.62709	1.6295	0.00192511
38	1.62326	1.62933	0.00188142
39	1.62609	1.62925	0.00183501
40	1.62838	1.62923	0.00178927
41	1.65331	1.62981	0.00183951
42	1.63366	1.62991	0.00179799
43	1.63591	1.63005	0.0017616
44	1.61387	1.62968	0.00175952
45	1.63462	1.62979	0.00172384
46	1.61752	1.62952	0.00170687
47	1.65031	1.62996	0.00172691
48	1.61574	1.62967	0.00171616
49	1.62558	1.62958	0.00168316
50	1.64315	1.62986	0.00167121
51	1.62781	1.62982	0.00163893
52	1.62967	1.62981	0.00160741
53	1.63165	1.62985	0.00157746
54	1.63946	1.63002	0.00155825
55	1.60009	1.62948	0.00162218
56	1.63836	1.62964	0.00160095
57	1.62875	1.62962	0.00157294
58	1.62269	1.6295	0.00155036
59	1.64025	1.62969	0.00153474
60	1.63676	1.6298	0.00151369
61	1.61948	1.62963	0.00149831
62	1.60721	1.62927	0.00151718
63	1.62403	1.62919	0.00149538
64	1.61975	1.62904	0.00147928
65	1.63085	1.62907	0.00145678
66	1.62939	1.62908	0.00143472
67	1.61805	1.62891	0.0014227
68	1.64326	1.62912	0.00141735
69	1.63065	1.62914	0.00139698
70	1.62943	1.62915	0.00137703
71	1.60894	1.62886	0.00138674
72	1.62848	1.62886	0.00136749
73	1.61948	1.62873	0.00135479
74	1.62786	1.62872	0.00133653
75	1.64585	1.62895	0.00133808
76	1.62114	1.62884	0.00132442
77	1.61701	1.62869	0.0013161
78	1.63487	1.62877	0.00130161
79	1.6192	1.62865	0.00129075
80	1.63836	1.62877	0.00128031
81	1.62712	1.62875	0.00126467
82	1.61434	1.62857	0.0012614
83	1.64172	1.62873	0.00125611
84	1.61389	1.62855	0.00125352
85	1.6077	1.62831	0.00126255
86	1.63439	1.62838	0.00124985
87	1.63342	1.62844	0.00123682
88	1.62003	1.62834	0.00122646
89	1.64869	1.62857	0.00123381
90	1.63558	1.62865	0.00122255
91	1.64134	1.62879	0.00121704
92	1.63325	1.62884	0.00120478
93	1.624	1.62878	0.00119294
94	1.63481	1.62885	0.00118197
95	1.62755	1.62884	0.00116961
96	1.61518	1.62869	0.00116605
97	1.61631	1.62857	0.00116099
98	1.63854	1.62867	0.0011536
99	1.61029	1.62848	0.0011568
100	1.62821	1.62848	0.00114523
