#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.02364	-5.02364	0
2	-5.05624	-5.03994	0.011527
3	-5.02634	-5.03541	0.00852961
4	-5.04377	-5.0375	0.00664842
5	-5.04112	-5.03822	0.00535819
6	-5.03128	-5.03706	0.00458828
7	-5.03883	-5.03732	0.00393976
8	-5.04132	-5.03782	0.00347885
9	-5.0362	-5.03764	0.00309692
10	-5.01672	-5.03555	0.00342129
11	-5.03046	-5.03508	0.0031414
12	-5.03304	-5.03491	0.00288423
13	-5.03307	-5.03477	0.00266586
14	-5.04558	-5.03554	0.00258474
15	-5.03924	-5.03579	0.00242414
16	-5.05612	-5.03706	0.00258423
17	-5.05936	-5.03837	0.00274511
18	-5.06544	-5.03988	0.00297625
19	-5.01269	-5.03845	0.00314472
20	-5.04788	-5.03892	0.00302265
21	-5.04088	-5.03901	0.00288017
22	-5.04052	-5.03908	0.00275006
23	-5.0322	-5.03878	0.00264673
24	-5.02414	-5.03817	0.00260584
25	-5.05058	-5.03867	0.00254847
26	-5.04512	-5.03891	0.0024625
27	-5.03258	-5.03868	0.00238243
28	-5.00926	-5.03763	0.00251838
29	-5.0354	-5.03755	0.00243271
30	-5.042	-5.0377	0.00235613
31	-5.04215	-5.03784	0.00228449
32	-5.02957	-5.03759	0.00222769
33	-5.04472	-5.0378	0.00217065
34	-5.03277	-5.03765	0.00211186
35	-5.0231	-5.03724	0.00209207
36	-5.03579	-5.0372	0.00203434
37	-5.03322	-5.03709	0.00198219
38	-5.03195	-5.03695	0.00193464
39	-5.03289	-5.03685	0.00188784
40	-5.03604	-5.03683	0.00184075
41	-5.06053	-5.03741	0.00188443
42	-5.04221	-5.03752	0.00184303
43	-5.04459	-5.03769	0.00180749
44	-5.0215	-5.03732	0.00180348
45	-5.04116	-5.0374	0.00176542
46	-5.02612	-5.03716	0.00174399
47	-5.05965	-5.03764	0.00177131
48	-5.02311	-5.03734	0.00176006
49	-5.0331	-5.03725	0.00172627
50	-5.05053	-5.03751	0.00171205
51	-5.03534	-5.03747	0.00167901
52	-5.0383	-5.03749	0.0016468
53	-5.04021	-5.03754	0.00161652
54	-5.04805	-5.03773	0.00159826
55	-5.00816	-5.0372	0.00165718
56	-5.04611	-5.03736	0.00163521
57	-5.03764	-5.03736	0.00160653
58	-5.03062	-5.03724	0.00158303
59	-5.04833	-5.03743	0.00156731
60	-5.04417	-5.03754	0.0015452
61	-5.02775	-5.03738	0.00152819
62	-5.01464	-5.03702	0.00154695
63	-5.0318	-5.03693	0.00152461
64	-5.02808	-5.0368	0.00150704
65	-5.03929	-5.03683	0.00148435
66	-5.03956	-5.03688	0.00146243
67	-5.02531	-5.0367	0.00145076
68	-5.05206	-5.03693	0.0014469
69	-5.03815	-5.03695	0.00142604
70	-5.03796	-5.03696	0.00140574
71	-5.01657	-5.03667	0.00141497
72	-5.03648	-5.03667	0.00139532
73	-5.02801	-5.03655	0.00138123
74	-5.03678	-5.03656	0.00136257
75	-5.05503	-5.0368	0.0013665
76	-5.02861	-5.03669	0.00135277
77	-5.02484	-5.03654	0.00134394
78	-5.04404	-5.03664	0.00133014
79	-5.02815	-5.03653	0.00131764
80	-5.04551	-5.03664	0.00130594
81	-5.03482	-5.03662	0.00129001
82	-5.02332	-5.03646	0.00128443
83	-5.0504	-5.03662	0.00127989
84	-5.02059	-5.03643	0.00127881
85	-5.01479	-5.03618	0.00128888
86	-5.0429	-5.03626	0.00127626
87	-5.0402	-5.0363	0.00126239
88	-5.02734	-5.0362	0.00125215
89	-5.05654	-5.03643	0.00125877
90	-5.04252	-5.0365	0.00124661
91	-5.04948	-5.03664	0.00124105
92	-5.04284	-5.03671	0.00122939
93	-5.03248	-5.03666	0.00121701
94	-5.04333	-5.03673	0.00120613
95	-5.03529	-5.03672	0.00119353
96	-5.02319	-5.03658	0.00118938
97	-5.02304	-5.03644	0.00118528
98	-5.04726	-5.03655	0.00117832
99	-5.01715	-5.03635	0.00118259
100	-5.03595	-5.03635	0.00117077
