#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.873193	0.873193	0
2	0.88923	0.881212	0.00566997
3	0.874782	0.879068	0.0041654
4	0.882363	0.879892	0.00320446
5	0.883238	0.880561	0.0026325
6	0.878579	0.880231	0.00221438
7	0.88164	0.880432	0.00190718
8	0.8817	0.880591	0.00167535
9	0.878781	0.88039	0.00150121
10	0.8702	0.879371	0.00166129
11	0.876927	0.879148	0.00152504
12	0.877955	0.879049	0.00140119
13	0.878517	0.879008	0.00129401
14	0.884479	0.879399	0.0012592
15	0.881919	0.879567	0.0011864
16	0.888869	0.880148	0.0012466
17	0.889981	0.880727	0.00130055
18	0.894106	0.88147	0.00142496
19	0.868809	0.880804	0.00149768
20	0.884246	0.880976	0.00143265
21	0.880998	0.880977	0.00136443
22	0.882156	0.88103	0.00130346
23	0.878113	0.880903	0.00125295
24	0.87382	0.880608	0.00123502
25	0.886145	0.88083	0.00120531
26	0.88453	0.880972	0.00116732
27	0.877499	0.880843	0.00113115
28	0.867065	0.880351	0.001193
29	0.880456	0.880355	0.00115187
30	0.883136	0.880448	0.0011172
31	0.8825	0.880514	0.00108312
32	0.87747	0.880419	0.00105344
33	0.883751	0.88052	0.00102634
34	0.879219	0.880481	0.000996869
35	0.873491	0.880282	0.000988194
36	0.879513	0.88026	0.000960975
37	0.879638	0.880244	0.00093515
38	0.876813	0.880153	0.000914887
39	0.87824	0.880104	0.000892743
40	0.879531	0.88009	0.00087054
41	0.8915	0.880368	0.000892683
42	0.882421	0.880417	0.000872765
43	0.883264	0.880483	0.000854975
44	0.872749	0.880307	0.000853422
45	0.882528	0.880357	0.000835883
46	0.8741	0.880221	0.000828703
47	0.889996	0.880429	0.000836765
48	0.873808	0.880291	0.000830623
49	0.878701	0.880258	0.000814306
50	0.886403	0.880381	0.000807239
51	0.87953	0.880365	0.000791584
52	0.880461	0.880366	0.000776363
53	0.88197	0.880397	0.000762304
54	0.88451	0.880473	0.000751984
55	0.86521	0.880195	0.000787854
56	0.884655	0.880275	0.000777798
57	0.879395	0.88026	0.000764306
58	0.876489	0.880195	0.000753888
59	0.885714	0.880288	0.000746892
60	0.884235	0.880354	0.000737335
61	0.874997	0.880266	0.000730459
62	0.869076	0.880086	0.000740639
63	0.877836	0.88005	0.000729743
64	0.875326	0.879976	0.000722064
65	0.880512	0.879984	0.000711002
66	0.87893	0.879968	0.000700409
67	0.8744	0.879885	0.000694868
68	0.886609	0.879984	0.00069165
69	0.880417	0.87999	0.000681654
70	0.879722	0.879987	0.000671927
71	0.870445	0.879852	0.000675769
72	0.879221	0.879843	0.00066644
73	0.875282	0.879781	0.000660234
74	0.879081	0.879771	0.00065138
75	0.88749	0.879874	0.000650774
76	0.875877	0.879822	0.000644333
77	0.874684	0.879755	0.000639411
78	0.882909	0.879796	0.00063249
79	0.875234	0.879738	0.000627114
80	0.884527	0.879798	0.000622126
81	0.879471	0.879794	0.000614458
82	0.872804	0.879708	0.000612849
83	0.886127	0.879786	0.000610325
84	0.872706	0.879701	0.000608851
85	0.870013	0.879587	0.000612264
86	0.882638	0.879623	0.000606171
87	0.881869	0.879649	0.000599753
88	0.875683	0.879604	0.000594628
89	0.889634	0.879716	0.000598533
90	0.883166	0.879755	0.000593108
91	0.885923	0.879822	0.000590452
92	0.882199	0.879848	0.000584598
93	0.877468	0.879823	0.000578872
94	0.88294	0.879856	0.000573664
95	0.879265	0.87985	0.000567659
96	0.873158	0.87978	0.00056601
97	0.874273	0.879723	0.000563014
98	0.885522	0.879782	0.00056037
99	0.871006	0.879694	0.000561678
100	0.879384	0.879691	0.00055607
