#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.07683	1.07683	0
2	1.09872	1.08777	0.00773794
3	1.07891	1.08482	0.00569458
4	1.08961	1.08602	0.00439493
5	1.08963	1.08674	0.00357477
6	1.08333	1.08617	0.0030237
7	1.08763	1.08638	0.00259896
8	1.08928	1.08674	0.00229926
9	1.0849	1.08654	0.00205286
10	1.0731	1.08519	0.00224486
11	1.08145	1.08485	0.00206647
12	1.08376	1.08476	0.00189628
13	1.08403	1.08471	0.00175124
14	1.09167	1.0852	0.00169532
15	1.08844	1.08542	0.00159594
16	1.09837	1.08623	0.00168898
17	1.10024	1.08705	0.00177951
18	1.10549	1.08808	0.00195321
19	1.0707	1.08716	0.00205346
20	1.0924	1.08742	0.0019674
21	1.08828	1.08746	0.00187413
22	1.08897	1.08753	0.0017902
23	1.08338	1.08735	0.00172146
24	1.07769	1.08695	0.00169618
25	1.0946	1.08726	0.00165569
26	1.09203	1.08744	0.00160215
27	1.08275	1.08726	0.0015522
28	1.06835	1.08659	0.00163724
29	1.08587	1.08656	0.00158097
30	1.08992	1.08668	0.00153222
31	1.08939	1.08676	0.00148529
32	1.08172	1.08661	0.00144723
33	1.09102	1.08674	0.00140953
34	1.08392	1.08666	0.00137051
35	1.07756	1.0864	0.00135577
36	1.08563	1.08638	0.00131828
37	1.08473	1.08633	0.00128341
38	1.08218	1.08622	0.00125428
39	1.08406	1.08617	0.00122334
40	1.08559	1.08615	0.00119284
41	1.10221	1.08654	0.00122634
42	1.08911	1.0866	0.00119866
43	1.09061	1.0867	0.0011744
44	1.07591	1.08645	0.00117301
45	1.08974	1.08653	0.00114923
46	1.07835	1.08635	0.00113791
47	1.10021	1.08664	0.00115128
48	1.07716	1.08644	0.00114411
49	1.08372	1.08639	0.00112211
50	1.09543	1.08657	0.00111414
51	1.08521	1.08654	0.00109262
52	1.08645	1.08654	0.00107161
53	1.08777	1.08656	0.00105164
54	1.09297	1.08668	0.00103883
55	1.06673	1.08632	0.00108146
56	1.09224	1.08643	0.0010673
57	1.08583	1.08642	0.00104863
58	1.08179	1.08634	0.00103357
59	1.0935	1.08646	0.00102316
60	1.09118	1.08654	0.00100913
61	1.07965	1.08642	0.000998872
62	1.07147	1.08618	0.00101145
63	1.08268	1.08613	0.000996921
64	1.07983	1.08603	0.000986185
65	1.08723	1.08605	0.000971187
66	1.08626	1.08605	0.000956477
67	1.0787	1.08594	0.000948468
68	1.09551	1.08608	0.000944901
69	1.0871	1.0861	0.000931323
70	1.08629	1.0861	0.000918022
71	1.07263	1.08591	0.000924495
72	1.08565	1.08591	0.000911662
73	1.07965	1.08582	0.000903191
74	1.08524	1.08581	0.00089102
75	1.09723	1.08596	0.000892056
76	1.08076	1.0859	0.000882946
77	1.07801	1.08579	0.000877401
78	1.08991	1.08585	0.000867739
79	1.07947	1.08577	0.000860503
80	1.09224	1.08585	0.00085354
81	1.08474	1.08583	0.000843111
82	1.07623	1.08572	0.00084093
83	1.09448	1.08582	0.000837404
84	1.07593	1.0857	0.000835678
85	1.0718	1.08554	0.000841698
86	1.0896	1.08559	0.000833231
87	1.08895	1.08563	0.00082455
88	1.08002	1.08556	0.000817639
89	1.09913	1.08571	0.000822537
90	1.09039	1.08577	0.000815034
91	1.09422	1.08586	0.000811359
92	1.08883	1.08589	0.000803183
93	1.08267	1.08586	0.000795296
94	1.08988	1.0859	0.000787983
95	1.08503	1.08589	0.000779741
96	1.07679	1.0858	0.000777363
97	1.07754	1.08571	0.000773996
98	1.09236	1.08578	0.000769068
99	1.07352	1.08565	0.000771197
100	1.08547	1.08565	0.000763487
