#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.40839	-3.40839	0
2	-3.40817	-3.40828	7.9954e-05
3	-3.40797	-3.40818	9.92453e-05
4	-3.40936	-3.40847	0.000266043
5	-3.40668	-3.40811	0.000384054
6	-3.40628	-3.40781	0.000424307
7	-3.40738	-3.40775	0.000368061
8	-3.40739	-3.4077	0.000324698
9	-3.40885	-3.40783	0.000312679
10	-3.40708	-3.40776	0.000290338
11	-3.40829	-3.4078	0.000267935
12	-3.4074	-3.40777	0.000247685
13	-3.40702	-3.40771	0.000235271
14	-3.40807	-3.40774	0.000219862
15	-3.40658	-3.40766	0.000218249
16	-3.40857	-3.40772	0.000211811
17	-3.409	-3.40779	0.00021231
18	-3.40722	-3.40776	0.000202921
19	-3.40665	-3.4077	0.000200514
20	-3.40929	-3.40778	0.000205514
21	-3.40847	-3.40782	0.000198321
22	-3.40706	-3.40778	0.000192271
23	-3.40713	-3.40775	0.000185979
24	-3.40761	-3.40775	0.000178331
25	-3.40869	-3.40778	0.000175119
26	-3.40708	-3.40776	0.000170482
27	-3.40846	-3.40778	0.000166158
28	-3.40674	-3.40775	0.000164315
29	-3.4066	-3.40771	0.000163361
30	-3.40712	-3.40769	0.000159078
31	-3.40806	-3.4077	0.000154408
32	-3.407	-3.40768	0.000151139
33	-3.4082	-3.40769	0.000147384
34	-3.40688	-3.40767	0.000144964
35	-3.40676	-3.40764	0.000143139
36	-3.40735	-3.40763	0.000139389
37	-3.40613	-3.40759	0.000141404
38	-3.40869	-3.40762	0.000140576
39	-3.4068	-3.4076	0.000138556
40	-3.40766	-3.4076	0.000135101
41	-3.40722	-3.40759	0.000132129
42	-3.40855	-3.40762	0.000130933
43	-3.40868	-3.40764	0.000130199
44	-3.40763	-3.40764	0.00012724
45	-3.40655	-3.40762	0.000126717
46	-3.4086	-3.40764	0.000125765
47	-3.40934	-3.40767	0.000128181
48	-3.40737	-3.40767	0.000125667
49	-3.40752	-3.40766	0.00012314
50	-3.40738	-3.40766	0.000120808
51	-3.40753	-3.40766	0.000118465
52	-3.40863	-3.40768	0.000117667
53	-3.40855	-3.40769	0.00011661
54	-3.40859	-3.40771	0.000115643
55	-3.40807	-3.40772	0.000113727
56	-3.40774	-3.40772	0.000111697
57	-3.40889	-3.40774	0.000111624
58	-3.40793	-3.40774	0.000109747
59	-3.40808	-3.40775	0.000108035
60	-3.40741	-3.40774	0.000106382
61	-3.40828	-3.40775	0.000105
62	-3.40743	-3.40774	0.000103432
63	-3.40778	-3.40774	0.000101792
64	-3.40834	-3.40775	0.000100621
65	-3.40844	-3.40776	9.96308e-05
66	-3.41017	-3.4078	0.000104581
67	-3.40726	-3.40779	0.000103334
68	-3.4088	-3.40781	0.000102868
69	-3.4075	-3.4078	0.000101475
70	-3.40853	-3.40781	0.000100562
71	-3.40763	-3.40781	9.91769e-05
72	-3.40799	-3.40781	9.78321e-05
73	-3.40854	-3.40782	9.69927e-05
74	-3.40892	-3.40784	9.68123e-05
75	-3.40919	-3.40786	9.71743e-05
76	-3.40747	-3.40785	9.60284e-05
77	-3.40782	-3.40785	9.47819e-05
78	-3.40918	-3.40787	9.50789e-05
79	-3.40895	-3.40788	9.48554e-05
80	-3.40716	-3.40787	9.40995e-05
81	-3.4077	-3.40787	9.29612e-05
82	-3.40899	-3.40788	9.28201e-05
83	-3.40868	-3.40789	9.21918e-05
84	-3.4067	-3.40788	9.21847e-05
85	-3.40708	-3.40787	9.15746e-05
86	-3.40851	-3.40788	9.08102e-05
87	-3.40678	-3.40786	9.06397e-05
88	-3.40731	-3.40786	8.98267e-05
89	-3.40785	-3.40786	8.88174e-05
90	-3.40695	-3.40785	8.84074e-05
91	-3.40814	-3.40785	8.74961e-05
92	-3.4096	-3.40787	8.85759e-05
93	-3.40848	-3.40788	8.78646e-05
94	-3.40852	-3.40788	8.71922e-05
95	-3.40774	-3.40788	8.62882e-05
96	-3.40801	-3.40788	8.53994e-05
97	-3.40674	-3.40787	8.53328e-05
98	-3.40872	-3.40788	8.48993e-05
99	-3.40687	-3.40787	8.46552e-05
100	-3.40774	-3.40787	8.38188e-05
