#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.07142	-5.07142	0
2	-5.0293	-5.05036	0.014893
3	-5.03913	-5.04662	0.010388
4	-5.04779	-5.04691	0.00779516
5	-5.07173	-5.05187	0.00765522
6	-5.01655	-5.04599	0.00834142
7	-5.03967	-5.04508	0.00719848
8	-5.05338	-5.04612	0.00637284
9	-5.01248	-5.04238	0.00667166
10	-5.02123	-5.04027	0.00633106
11	-5.0341	-5.03971	0.0057803
12	-5.03342	-5.03918	0.00532232
13	-5.03845	-5.03913	0.00491321
14	-5.05886	-5.04053	0.00476019
15	-5.04466	-5.04081	0.00445079
16	-5.03849	-5.04066	0.00417498
17	-5.03234	-5.04018	0.00395803
18	-5.01415	-5.03873	0.00399349
19	-5.02793	-5.03816	0.00382353
20	-5.04657	-5.03858	0.00365539
