#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.889391	0.889391	0
2	0.891484	0.890437	0.000739982
3	0.890956	0.89061	0.000513178
4	0.890574	0.890601	0.000384964
5	0.889787	0.890438	0.000340672
6	0.892101	0.890715	0.000380234
7	0.891104	0.890771	0.000329938
8	0.890475	0.890734	0.00029076
9	0.89228	0.890906	0.000305015
10	0.891773	0.890992	0.000286573
11	0.891146	0.891006	0.000260863
12	0.891181	0.891021	0.000239531
13	0.891042	0.891023	0.000221111
14	0.890075	0.890955	0.000215423
15	0.890649	0.890934	0.000202027
16	0.89101	0.890939	0.000189455
17	0.8913	0.89096	0.000179495
18	0.892088	0.891023	0.000180127
19	0.891559	0.891051	0.000172843
20	0.890798	0.891039	0.000164665
