#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.42142	-3.42142	0
2	-3.3793	-3.40036	0.014893
3	-3.38913	-3.39662	0.010388
4	-3.39779	-3.39691	0.00779516
5	-3.42173	-3.40187	0.00765522
6	-3.36655	-3.39599	0.00834142
7	-3.38967	-3.39508	0.00719848
8	-3.40338	-3.39612	0.00637284
9	-3.36248	-3.39238	0.00667166
10	-3.37123	-3.39027	0.00633106
11	-3.3841	-3.38971	0.0057803
12	-3.38342	-3.38918	0.00532232
13	-3.38845	-3.38913	0.00491321
14	-3.40886	-3.39053	0.00476019
15	-3.39466	-3.39081	0.00445079
16	-3.38849	-3.39066	0.00417498
17	-3.38234	-3.39018	0.00395803
18	-3.36415	-3.38873	0.00399349
19	-3.37793	-3.38816	0.00382353
20	-3.39657	-3.38858	0.00365539
