N_BLOCK:	ACCEPTANCE:
1	0.508148
2	0.508344
3	0.508466
4	0.508377
5	0.508952
6	0.508863
7	0.509185
8	0.509401
9	0.509417
10	0.509338
11	0.509306
12	0.50953
13	0.50952
14	0.509534
15	0.509595
16	0.509779
17	0.50973
18	0.509784
19	0.509847
20	0.509819
21	0.509867
22	0.509864
23	0.509863
24	0.509896
25	0.509893
26	0.509834
27	0.509886
28	0.509863
29	0.509875
30	0.509921
31	0.509885
32	0.509874
33	0.509854
34	0.509859
35	0.509922
36	0.509931
37	0.509984
38	0.510036
39	0.510051
40	0.510053
41	0.510106
42	0.510127
43	0.510142
44	0.510161
45	0.510123
46	0.510085
47	0.510067
48	0.51002
49	0.510038
50	0.510044
51	0.510054
52	0.510097
53	0.510071
54	0.510041
55	0.510008
56	0.510023
57	0.510042
58	0.510057
59	0.510049
60	0.510055
61	0.510042
62	0.510036
63	0.510046
64	0.510044
65	0.510033
66	0.510056
67	0.510054
68	0.510041
69	0.510037
70	0.510059
71	0.510075
72	0.510071
73	0.510041
74	0.510026
75	0.510045
76	0.510048
77	0.510042
78	0.510049
79	0.510066
80	0.510037
81	0.510029
82	0.510006
83	0.510009
84	0.510026
85	0.510014
86	0.510027
87	0.510021
88	0.51003
89	0.510044
90	0.510075
91	0.510096
92	0.510086
93	0.510082
94	0.510082
95	0.510088
96	0.510083
97	0.510081
98	0.510086
99	0.510094
100	0.510084
