#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	1.94523e-05	3.13773e-06
0.872088	0.00165069	2.69695e-05
0.897737	0.0241127	0.000103216
0.923387	0.167369	0.000350458
0.949037	0.574979	0.000743711
0.974686	1.21314	0.00111624
1.00034	1.86671	0.00118839
1.02599	2.33337	0.00136745
1.05164	2.55055	0.00101344
1.07728	2.54284	0.000940426
1.10293	2.39385	0.00094872
1.12858	2.19081	0.000937585
1.15423	1.96744	0.000982179
1.17988	1.75074	0.00090533
1.20553	1.56605	0.000814878
1.23118	1.39504	0.000845675
1.25683	1.25261	0.000732693
1.28248	1.1254	0.000588949
1.30813	1.02666	0.000608815
1.33378	0.944823	0.000533942
1.35943	0.876426	0.000477881
1.38508	0.820694	0.00043757
1.41073	0.772158	0.000414312
1.43638	0.737237	0.000405835
1.46203	0.709308	0.00043396
1.48768	0.68875	0.000494497
1.51333	0.674673	0.000458007
1.53898	0.671104	0.000439305
1.56463	0.675334	0.000487404
1.59028	0.676325	0.000454864
1.61593	0.68772	0.000468242
1.64158	0.701259	0.000462135
1.66723	0.726261	0.000443577
1.69288	0.757618	0.000432219
1.71853	0.787627	0.000457822
1.74418	0.815113	0.000456347
1.76983	0.850764	0.000464229
1.79547	0.891435	0.00045533
1.82112	0.93428	0.000400743
1.84677	0.975834	0.000494203
1.87242	1.01585	0.000425686
1.89807	1.05398	0.00048259
1.92372	1.09221	0.00050201
1.94937	1.12984	0.00047363
1.97502	1.15881	0.000444638
2.00067	1.18431	0.00039577
2.02632	1.20301	0.000403331
2.05197	1.21439	0.000414378
2.07762	1.21371	0.000390881
2.10327	1.20413	0.000433773
2.12892	1.18982	0.000472526
2.15457	1.17354	0.000478793
2.18022	1.14992	0.000467471
2.20587	1.1195	0.000452362
2.23152	1.09708	0.000486767
2.25717	1.07229	0.000427511
2.28282	1.04569	0.000442967
2.30847	1.01158	0.000412965
2.33412	0.992649	0.000444332
2.35977	0.97015	0.000360407
2.38542	0.948877	0.000377183
2.41107	0.930077	0.000353712
2.43672	0.915688	0.00036659
2.46237	0.905865	0.000331024
2.48802	0.893712	0.000318548
2.51366	0.886133	0.000355218
2.53931	0.88999	0.000374011
