#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.02955	-5.02955	0
2	-5.02426	-5.0269	0.00186921
3	-5.03933	-5.03105	0.00360529
4	-5.02545	-5.02965	0.00296348
5	-5.05119	-5.03395	0.00452452
6	-5.03385	-5.03394	0.00377046
7	-5.03638	-5.03429	0.00324792
8	-5.03465	-5.03433	0.00284225
9	-5.03102	-5.03396	0.00255017
10	-5.02324	-5.03289	0.00251049
11	-5.03603	-5.03318	0.00229841
12	-5.04096	-5.03382	0.00219638
13	-5.03402	-5.03384	0.00202748
14	-5.03845	-5.03417	0.00190918
15	-5.03032	-5.03391	0.00179908
16	-5.0558	-5.03528	0.00214442
17	-5.03708	-5.03539	0.00202089
18	-5.04477	-5.03591	0.00197472
19	-5.04734	-5.03651	0.00196029
20	-5.03627	-5.0365	0.00186231
21	-5.03522	-5.03644	0.00177462
22	-5.03265	-5.03626	0.00170227
23	-5.04295	-5.03655	0.00165286
24	-5.04536	-5.03692	0.0016242
25	-5.03611	-5.03689	0.00155956
26	-5.01653	-5.03611	0.00168473
27	-5.03883	-5.03621	0.00162534
28	-5.03161	-5.03604	0.00157558
29	-5.039	-5.03614	0.00152453
30	-5.0357	-5.03613	0.00147379
31	-5.02194	-5.03567	0.0014956
32	-5.04304	-5.0359	0.00146649
33	-5.02475	-5.03556	0.00146048
34	-5.0359	-5.03557	0.00141756
35	-5.04685	-5.0359	0.0014132
36	-5.03665	-5.03592	0.0013741
37	-5.039	-5.036	0.00133948
38	-5.04923	-5.03635	0.00134868
39	-5.03712	-5.03637	0.00131425
40	-5.03582	-5.03635	0.00128146
41	-5.04839	-5.03665	0.0012834
42	-5.03422	-5.03659	0.00125414
43	-5.03487	-5.03655	0.00122561
44	-5.03979	-5.03662	0.00119997
45	-5.02563	-5.03638	0.00119794
46	-5.0261	-5.03616	0.00119256
47	-5.03353	-5.0361	0.0011685
48	-5.03488	-5.03607	0.00114443
49	-5.03975	-5.03615	0.00112353
50	-5.02874	-5.036	0.0011108
51	-5.03926	-5.03607	0.00109086
52	-5.04875	-5.03631	0.00109679
53	-5.03693	-5.03632	0.00107616
54	-5.02619	-5.03613	0.00107248
55	-5.02781	-5.03598	0.00106359
56	-5.03906	-5.03604	0.00104601
57	-5.03387	-5.036	0.00102835
58	-5.03915	-5.03605	0.00101206
59	-5.03578	-5.03605	0.000994914
60	-5.0394	-5.0361	0.000979895
61	-5.04407	-5.03623	0.000972493
62	-5.04031	-5.0363	0.000959024
63	-5.04379	-5.03642	0.000951136
64	-5.03226	-5.03635	0.000938487
65	-5.03562	-5.03634	0.000924116
66	-5.0413	-5.03642	0.00091316
67	-5.03114	-5.03634	0.000902923
68	-5.0368	-5.03635	0.00088967
69	-5.03352	-5.03631	0.000877718
70	-5.04504	-5.03643	0.000874005
71	-5.04012	-5.03648	0.000863236
72	-5.03074	-5.0364	0.000854921
73	-5.02733	-5.03628	0.000852187
74	-5.03244	-5.03623	0.000842252
75	-5.03999	-5.03628	0.000832516
76	-5.02441	-5.03612	0.00083607
77	-5.03482	-5.0361	0.000825383
78	-5.04334	-5.0362	0.000820005
79	-5.03373	-5.03616	0.000810221
80	-5.02818	-5.03607	0.000806221
81	-5.0284	-5.03597	0.000801807
82	-5.0206	-5.03578	0.000813644
83	-5.04678	-5.03592	0.000814548
84	-5.04182	-5.03599	0.000807882
85	-5.02358	-5.03584	0.000811464
86	-5.03372	-5.03582	0.000802403
87	-5.03634	-5.03582	0.000793203
88	-5.03692	-5.03583	0.000784288
89	-5.0392	-5.03587	0.000776387
90	-5.05138	-5.03604	0.000786648
91	-5.04363	-5.03613	0.000782407
92	-5.03792	-5.03615	0.000774146
93	-5.03238	-5.03611	0.000766879
94	-5.02865	-5.03603	0.000762812
95	-5.02349	-5.03589	0.000766116
96	-5.02617	-5.03579	0.00076481
97	-5.03438	-5.03578	0.000757064
98	-5.03912	-5.03581	0.000750107
99	-5.04396	-5.0359	0.000747028
100	-5.03067	-5.03584	0.000741384
