#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.891438	0.891438	0
2	0.891773	0.891605	0.000118487
3	0.891107	0.891439	0.000156927
4	0.891693	0.891503	0.000129897
5	0.890548	0.891312	0.000199922
6	0.891303	0.89131	0.000166607
7	0.89112	0.891283	0.000145002
8	0.891154	0.891267	0.000127772
9	0.89142	0.891284	0.000114707
10	0.891685	0.891324	0.00011001
11	0.891384	0.891329	0.000100143
12	0.890809	0.891286	0.000100765
13	0.891374	0.891293	9.32402e-05
14	0.891088	0.891278	8.77206e-05
15	0.891415	0.891287	8.23468e-05
16	0.890385	0.891231	9.4546e-05
17	0.891194	0.891229	8.90095e-05
18	0.890848	0.891208	8.65472e-05
19	0.89062	0.891177	8.73389e-05
20	0.891344	0.891185	8.33719e-05
21	0.89109	0.891181	7.95255e-05
22	0.891303	0.891186	7.61046e-05
23	0.890843	0.891171	7.42475e-05
24	0.890647	0.891149	7.42924e-05
25	0.89109	0.891147	7.13589e-05
26	0.892092	0.891183	7.73269e-05
27	0.890856	0.891171	7.54051e-05
28	0.891214	0.891173	7.27274e-05
29	0.891028	0.891168	7.03907e-05
30	0.891065	0.891164	6.81282e-05
31	0.891746	0.891183	6.84661e-05
32	0.890875	0.891173	6.69978e-05
33	0.891665	0.891188	6.66038e-05
34	0.891184	0.891188	6.4645e-05
35	0.890539	0.89117	6.54027e-05
36	0.891035	0.891166	6.3693e-05
37	0.890818	0.891157	6.2661e-05
38	0.890591	0.891142	6.27541e-05
39	0.890941	0.891136	6.13564e-05
40	0.891154	0.891137	5.98241e-05
41	0.890403	0.891119	6.09846e-05
42	0.891193	0.891121	5.9558e-05
43	0.89105	0.891119	5.8196e-05
44	0.89102	0.891117	5.69168e-05
45	0.891537	0.891126	5.64108e-05
46	0.891619	0.891137	5.61926e-05
47	0.891194	0.891138	5.50103e-05
48	0.891167	0.891139	5.38676e-05
49	0.890809	0.891132	5.31862e-05
50	0.891427	0.891138	5.24482e-05
51	0.891042	0.891136	5.14536e-05
52	0.890412	0.891122	5.23121e-05
53	0.891295	0.891125	5.14271e-05
54	0.891635	0.891135	5.13328e-05
55	0.891499	0.891141	5.08259e-05
56	0.89083	0.891136	5.02224e-05
57	0.891097	0.891135	4.93459e-05
58	0.891015	0.891133	4.85387e-05
59	0.891108	0.891133	4.77178e-05
60	0.890922	0.891129	4.70512e-05
61	0.89078	0.891123	4.66261e-05
62	0.890925	0.89112	4.59842e-05
63	0.890758	0.891115	4.56118e-05
64	0.891302	0.891117	4.49934e-05
65	0.891164	0.891118	4.43069e-05
66	0.890789	0.891113	4.39156e-05
67	0.891134	0.891114	4.32613e-05
68	0.891122	0.891114	4.26252e-05
69	0.891119	0.891114	4.20076e-05
70	0.89063	0.891107	4.1971e-05
71	0.891099	0.891107	4.138e-05
72	0.891303	0.891109	4.08949e-05
73	0.891578	0.891116	4.08361e-05
74	0.89115	0.891116	4.02868e-05
75	0.891032	0.891115	3.97655e-05
76	0.891523	0.891121	3.96026e-05
77	0.891413	0.891124	3.92695e-05
78	0.890796	0.89112	3.89904e-05
79	0.890991	0.891119	3.85311e-05
80	0.891736	0.891126	3.88151e-05
81	0.891541	0.891131	3.86724e-05
82	0.891776	0.891139	3.89924e-05
83	0.890546	0.891132	3.91715e-05
84	0.890686	0.891127	3.90638e-05
85	0.891624	0.891133	3.90394e-05
86	0.891135	0.891133	3.85855e-05
87	0.891176	0.891133	3.81453e-05
88	0.890924	0.891131	3.7786e-05
89	0.891002	0.891129	3.73893e-05
90	0.890201	0.891119	3.83696e-05
91	0.890761	0.891115	3.81488e-05
92	0.891269	0.891117	3.77709e-05
93	0.89124	0.891118	3.73879e-05
94	0.891439	0.891121	3.71456e-05
95	0.89162	0.891127	3.71233e-05
96	0.891531	0.891131	3.69742e-05
97	0.891173	0.891131	3.65956e-05
98	0.89089	0.891129	3.63046e-05
99	0.890586	0.891123	3.63498e-05
100	0.891401	0.891126	3.60919e-05
