#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.37955	-3.37955	0
2	-3.37426	-3.3769	0.00186921
3	-3.38933	-3.38105	0.00360529
4	-3.37545	-3.37965	0.00296348
5	-3.40119	-3.38395	0.00452452
6	-3.38385	-3.38394	0.00377046
7	-3.38638	-3.38429	0.00324792
8	-3.38465	-3.38433	0.00284225
9	-3.38102	-3.38396	0.00255017
10	-3.37324	-3.38289	0.00251049
11	-3.38603	-3.38318	0.00229841
12	-3.39096	-3.38382	0.00219638
13	-3.38402	-3.38384	0.00202748
14	-3.38845	-3.38417	0.00190918
15	-3.38032	-3.38391	0.00179908
16	-3.4058	-3.38528	0.00214442
17	-3.38708	-3.38539	0.00202089
18	-3.39477	-3.38591	0.00197472
19	-3.39734	-3.38651	0.00196029
20	-3.38627	-3.3865	0.00186231
21	-3.38522	-3.38644	0.00177462
22	-3.38265	-3.38626	0.00170227
23	-3.39295	-3.38655	0.00165286
24	-3.39536	-3.38692	0.0016242
25	-3.38611	-3.38689	0.00155956
26	-3.36653	-3.38611	0.00168473
27	-3.38883	-3.38621	0.00162534
28	-3.38161	-3.38604	0.00157558
29	-3.389	-3.38614	0.00152453
30	-3.3857	-3.38613	0.00147379
31	-3.37194	-3.38567	0.0014956
32	-3.39304	-3.3859	0.00146649
33	-3.37475	-3.38556	0.00146048
34	-3.3859	-3.38557	0.00141756
35	-3.39685	-3.3859	0.0014132
36	-3.38665	-3.38592	0.0013741
37	-3.389	-3.386	0.00133948
38	-3.39923	-3.38635	0.00134868
39	-3.38712	-3.38637	0.00131425
40	-3.38582	-3.38635	0.00128146
41	-3.39839	-3.38665	0.0012834
42	-3.38422	-3.38659	0.00125414
43	-3.38487	-3.38655	0.00122561
44	-3.38979	-3.38662	0.00119997
45	-3.37563	-3.38638	0.00119794
46	-3.3761	-3.38616	0.00119256
47	-3.38353	-3.3861	0.0011685
48	-3.38488	-3.38607	0.00114443
49	-3.38975	-3.38615	0.00112353
50	-3.37874	-3.386	0.0011108
51	-3.38926	-3.38607	0.00109086
52	-3.39875	-3.38631	0.00109679
53	-3.38693	-3.38632	0.00107616
54	-3.37619	-3.38613	0.00107248
55	-3.37781	-3.38598	0.00106359
56	-3.38906	-3.38604	0.00104601
57	-3.38387	-3.386	0.00102835
58	-3.38915	-3.38605	0.00101206
59	-3.38578	-3.38605	0.000994914
60	-3.3894	-3.3861	0.000979895
61	-3.39407	-3.38623	0.000972493
62	-3.39031	-3.3863	0.000959024
63	-3.39379	-3.38642	0.000951136
64	-3.38226	-3.38635	0.000938487
65	-3.38562	-3.38634	0.000924116
66	-3.3913	-3.38642	0.00091316
67	-3.38114	-3.38634	0.000902923
68	-3.3868	-3.38635	0.00088967
69	-3.38352	-3.38631	0.000877718
70	-3.39504	-3.38643	0.000874005
71	-3.39012	-3.38648	0.000863236
72	-3.38074	-3.3864	0.000854921
73	-3.37733	-3.38628	0.000852187
74	-3.38244	-3.38623	0.000842252
75	-3.38999	-3.38628	0.000832516
76	-3.37441	-3.38612	0.00083607
77	-3.38482	-3.3861	0.000825383
78	-3.39334	-3.3862	0.000820005
79	-3.38373	-3.38616	0.000810221
80	-3.37818	-3.38607	0.000806221
81	-3.3784	-3.38597	0.000801807
82	-3.3706	-3.38578	0.000813644
83	-3.39678	-3.38592	0.000814548
84	-3.39182	-3.38599	0.000807882
85	-3.37358	-3.38584	0.000811464
86	-3.38372	-3.38582	0.000802403
87	-3.38634	-3.38582	0.000793203
88	-3.38692	-3.38583	0.000784288
89	-3.3892	-3.38587	0.000776387
90	-3.40138	-3.38604	0.000786648
91	-3.39363	-3.38613	0.000782407
92	-3.38792	-3.38615	0.000774146
93	-3.38238	-3.38611	0.000766879
94	-3.37865	-3.38603	0.000762812
95	-3.37349	-3.38589	0.000766116
96	-3.37617	-3.38579	0.00076481
97	-3.38438	-3.38578	0.000757064
98	-3.38912	-3.38581	0.000750107
99	-3.39396	-3.3859	0.000747028
100	-3.38067	-3.38584	0.000741384
