#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	0	7.89782e-06
0.872088	0.0017424	9.07198e-05
0.897737	0.0247277	0.000364927
0.923387	0.161077	0.00120528
0.949037	0.559486	0.00356308
0.974686	1.18701	0.00557682
1.00034	1.83388	0.00592319
1.02599	2.35421	0.00492138
1.05164	2.53494	0.0034971
1.07728	2.53834	0.00310618
1.10293	2.43847	0.00321337
1.12858	2.22323	0.00387705
1.15423	1.9857	0.00409723
1.17988	1.75583	0.00427266
1.20553	1.56277	0.00378527
1.23118	1.38762	0.00398747
1.25683	1.23588	0.00289003
1.28248	1.12895	0.00266543
1.30813	1.0288	0.00224426
1.33378	0.949963	0.0021305
1.35943	0.868734	0.00176187
1.38508	0.808629	0.00173989
1.41073	0.760988	0.00147214
1.43638	0.738256	0.0012915
1.46203	0.696723	0.00158981
1.48768	0.683697	0.0015345
1.51333	0.675725	0.00194481
1.53898	0.679502	0.00221988
1.56463	0.67923	0.00205665
1.59028	0.680472	0.00189308
1.61593	0.694022	0.00162123
1.64158	0.70716	0.0019591
1.66723	0.720704	0.00182296
1.69288	0.757668	0.00167795
1.71853	0.785888	0.00164792
1.74418	0.82249	0.00194371
1.76983	0.846438	0.00203076
1.79547	0.890142	0.00243486
1.82112	0.931427	0.00204695
1.84677	0.974463	0.00248189
1.87242	1.00307	0.00230845
1.89807	1.04045	0.00219674
1.92372	1.08435	0.00218269
1.94937	1.11879	0.00194118
1.97502	1.15938	0.00176218
2.00067	1.18724	0.00181278
2.02632	1.20727	0.00128162
2.05197	1.20928	0.00197409
2.07762	1.21475	0.00184863
2.10327	1.21472	0.00190516
2.12892	1.19648	0.00193158
2.15457	1.18713	0.00195282
2.18022	1.16951	0.0021472
2.20587	1.13016	0.00185891
2.23152	1.10341	0.0020257
2.25717	1.0806	0.00213923
2.28282	1.0512	0.00136172
2.30847	1.02004	0.001725
2.33412	0.996689	0.00161639
2.35977	0.968628	0.00135412
2.38542	0.944211	0.0011806
2.41107	0.925269	0.00140095
2.43672	0.907304	0.00133632
2.46237	0.897471	0.0014761
2.48802	0.883714	0.00119359
2.51366	0.874379	0.00138095
2.53931	0.877306	0.00158799
