#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.08264	-5.08264	0
2	-5.04181	-5.06223	0.0144376
3	-5.04432	-5.05626	0.0107891
4	-5.01803	-5.0467	0.011575
5	-5.04812	-5.04698	0.00926348
6	-5.01331	-5.04137	0.0092648
7	-5.04807	-5.04233	0.00799054
8	-4.99192	-5.03603	0.00914475
9	-5.04057	-5.03653	0.00814256
10	-5.03839	-5.03672	0.00733042
11	-5.04481	-5.03745	0.00670082
12	-5.013	-5.03542	0.00644476
13	-5.04501	-5.03615	0.00599108
14	-5.03101	-5.03579	0.00557438
15	-5.02404	-5.035	0.00525748
16	-5.02614	-5.03445	0.00495802
17	-5.03817	-5.03467	0.0046712
18	-5.03532	-5.0347	0.00441183
19	-5.05279	-5.03566	0.00428102
20	-5.04447	-5.0361	0.00408961
