#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.889093	0.889093	0
2	0.89095	0.890022	0.000656344
3	0.891199	0.890414	0.000542293
4	0.891937	0.890795	0.000523628
5	0.890322	0.8907	0.000427353
6	0.892374	0.890979	0.000437789
7	0.89087	0.890964	0.000375524
8	0.893155	0.891238	0.000416679
9	0.890872	0.891197	0.000372355
10	0.891107	0.891188	0.000335228
11	0.89071	0.891144	0.000307561
12	0.892425	0.891251	0.000299868
13	0.890932	0.891227	0.000277806
14	0.891587	0.891252	0.00025915
15	0.891761	0.891286	0.000244083
16	0.891646	0.891309	0.000229862
17	0.891368	0.891312	0.000216367
18	0.891334	0.891313	0.00020435
19	0.890338	0.891262	0.000199943
20	0.890699	0.891234	0.000191918
