#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.43264	-3.43264	0
2	-3.39181	-3.41223	0.0144376
3	-3.39432	-3.40626	0.0107891
4	-3.36803	-3.3967	0.011575
5	-3.39812	-3.39698	0.00926348
6	-3.36331	-3.39137	0.0092648
7	-3.39807	-3.39233	0.00799054
8	-3.34192	-3.38603	0.00914475
9	-3.39057	-3.38653	0.00814256
10	-3.38839	-3.38672	0.00733042
11	-3.39481	-3.38745	0.00670082
12	-3.363	-3.38542	0.00644476
13	-3.39501	-3.38615	0.00599108
14	-3.38101	-3.38579	0.00557438
15	-3.37404	-3.385	0.00525748
16	-3.37614	-3.38445	0.00495802
17	-3.38817	-3.38467	0.0046712
18	-3.38532	-3.3847	0.00441183
19	-3.40279	-3.38566	0.00428102
20	-3.39447	-3.3861	0.00408961
