#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	0	1.72882e-06
0.872088	0	1.54585e-05
0.897737	0	6.44812e-05
0.923387	0.245794	0.000163677
0.949037	0.388101	0.00028862
0.974686	0.883686	0.000400974
1.00034	2.58849	0.000477696
1.02599	2.3957	0.000518914
1.05164	2.53516	0.00053205
1.07728	3.08202	0.00052344
1.10293	2.71121	0.000503089
1.12858	1.92927	0.000473481
1.15423	1.89813	0.0004419
1.17988	1.56495	0.000409949
1.20553	1.20948	0.000379166
1.23118	1.39215	0.000351398
1.25683	0.935528	0.000326175
1.28248	0.813241	0.000303568
1.30813	1.317	0.000284618
1.33378	0.712859	0.000267603
1.35943	0.915279	0.000252704
1.38508	0.69825	0.000239553
1.41073	0.779628	0.000229051
1.43638	0.54711	0.000219944
1.46203	0.891415	0.000212357
1.48768	0.701719	0.00020641
1.51333	0.986662	0.000200867
1.53898	0.596447	0.000197323
1.56463	0.634929	0.000193924
1.59028	0.866273	0.000192017
1.61593	0.568493	0.000189456
1.64158	0.813385	0.000188895
1.66723	0.686966	0.000188632
1.69288	0.863931	0.000188551
1.71853	0.814566	0.000189695
1.74418	0.860747	0.000191012
1.76983	1.06214	0.000193078
1.79547	1.07615	0.000194861
1.82112	0.790033	0.000197173
1.84677	0.892993	0.000198379
1.87242	0.828448	0.000199314
1.89807	1.04236	0.000200426
1.92372	1.09153	0.000200218
1.94937	1.10049	0.000200083
1.97502	1.25401	0.000199827
2.00067	1.09827	0.000199389
2.02632	1.45078	0.000198574
2.05197	1.1286	0.00019669
2.07762	1.34758	0.000194793
2.10327	1.07454	0.000192236
2.12892	1.1429	0.000189634
2.15457	1.20773	0.00018561
2.18022	1.25431	0.00018245
2.20587	1.18171	0.00017838
2.23152	1.06931	0.000173465
2.25717	0.947721	0.000170105
2.28282	0.885779	0.00016598
2.30847	0.719705	0.000162123
2.33412	1.00394	0.00015803
2.35977	0.893044	0.000154241
2.38542	0.88653	0.000151431
2.41107	1.10011	0.000148407
2.43672	0.849787	0.000145962
2.46237	0.949487	0.000143425
2.48802	0.907145	0.000140917
2.51366	0.877568	0.000138611
2.53931	0.915147	0.000137362
