#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0360863	0.0360863	0
2	0.0348087	0.0354475	0.00045171
3	0.0360712	0.0356554	0.000345683
4	0.0353967	0.0355907	0.000265245
5	0.0360332	0.0356792	0.000226476
6	0.0360734	0.0357449	0.000198032
7	0.0356333	0.035729	0.000170383
8	0.0350002	0.0356379	0.000171719
9	0.0357991	0.0356558	0.000153572
10	0.0354923	0.0356394	0.000139082
11	0.0357442	0.035649	0.000126764
12	0.0353299	0.0356224	0.000118955
13	0.0357922	0.0356354	0.00011052
14	0.0357691	0.035645	0.000103037
15	0.0354061	0.0356291	9.73912e-05
16	0.0361315	0.0356605	9.62337e-05
17	0.0352	0.0356334	9.43083e-05
18	0.0358709	0.0356466	8.99871e-05
19	0.0349294	0.0356088	9.28312e-05
20	0.0359607	0.0356264	8.98417e-05
21	0.0360004	0.0356442	8.73107e-05
22	0.0359106	0.0356563	8.41775e-05
23	0.0356536	0.0356562	8.05177e-05
24	0.0351997	0.0356372	7.93783e-05
25	0.0353748	0.0356267	7.68938e-05
26	0.0356346	0.035627	7.39369e-05
27	0.0350887	0.0356071	7.38373e-05
28	0.0362223	0.035629	7.43974e-05
29	0.0356037	0.0356282	7.1837e-05
30	0.0349209	0.0356046	7.32093e-05
31	0.0356979	0.0356076	7.09095e-05
32	0.0360522	0.0356215	7.00413e-05
33	0.0360489	0.0356344	6.91061e-05
34	0.035154	0.0356203	6.85031e-05
35	0.035391	0.0356138	6.68585e-05
36	0.0354327	0.0356087	6.51902e-05
37	0.0354703	0.035605	6.35356e-05
38	0.0351504	0.035593	6.29799e-05
39	0.0352563	0.0355844	6.19541e-05
40	0.0352558	0.0355762	6.09474e-05
41	0.0355216	0.0355748	5.94754e-05
42	0.0355268	0.0355737	5.80703e-05
43	0.0360908	0.0355857	5.79514e-05
44	0.0362339	0.0356005	5.84769e-05
45	0.0352433	0.0355925	5.77136e-05
46	0.0358911	0.035599	5.68228e-05
47	0.0352386	0.0355913	5.61288e-05
48	0.0347995	0.0355748	5.73324e-05
49	0.0350912	0.035565	5.70055e-05
50	0.0361566	0.0355768	5.70804e-05
51	0.0355564	0.0355764	5.59626e-05
52	0.0351789	0.0355688	5.5406e-05
53	0.0362056	0.0355808	5.56483e-05
54	0.034911	0.0355684	5.59831e-05
55	0.0351971	0.0355616	5.53706e-05
56	0.0357865	0.0355656	5.45272e-05
57	0.0351607	0.0355585	5.40314e-05
58	0.035016	0.0355492	5.39034e-05
59	0.0356088	0.0355502	5.29992e-05
60	0.0354202	0.035548	5.21602e-05
61	0.0357604	0.0355515	5.14212e-05
62	0.0356966	0.0355539	5.0645e-05
63	0.0354418	0.0355521	4.98723e-05
64	0.034737	0.0355393	5.06932e-05
65	0.0354537	0.035538	4.99304e-05
66	0.0357297	0.0355409	4.92583e-05
67	0.0355035	0.0355404	4.85262e-05
68	0.0352971	0.0355368	4.79443e-05
69	0.0360732	0.0355446	4.78756e-05
70	0.0351748	0.0355393	4.74821e-05
71	0.0357447	0.0355422	4.69015e-05
72	0.0349222	0.0355336	4.70339e-05
73	0.0361104	0.0355415	4.70486e-05
74	0.0355258	0.0355413	4.64133e-05
75	0.0355009	0.0355407	4.57976e-05
76	0.0353522	0.0355382	4.52621e-05
77	0.0355205	0.035538	4.46749e-05
78	0.0355932	0.0355387	4.41077e-05
79	0.0354772	0.0355379	4.35563e-05
80	0.0356041	0.0355388	4.30197e-05
81	0.0352022	0.0355346	4.26888e-05
82	0.0361407	0.035542	4.28034e-05
83	0.0359591	0.035547	4.25816e-05
84	0.0361435	0.0355541	4.26627e-05
85	0.0355525	0.0355541	4.21608e-05
86	0.0351287	0.0355492	4.19598e-05
87	0.0353104	0.0355464	4.15672e-05
88	0.0354483	0.0355453	4.11098e-05
89	0.035731	0.0355474	4.07008e-05
90	0.0350488	0.0355418	4.06239e-05
91	0.0354893	0.0355413	4.01816e-05
92	0.0354427	0.0355402	3.97591e-05
93	0.0356042	0.0355409	3.93376e-05
94	0.0355539	0.035541	3.89193e-05
95	0.0354627	0.0355402	3.85184e-05
96	0.0357569	0.0355425	3.81833e-05
97	0.035369	0.0355407	3.78315e-05
98	0.0360528	0.0355459	3.78047e-05
99	0.0357827	0.0355483	3.74984e-05
100	0.035685	0.0355497	3.71483e-05
