#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	0	0
0.876524	0	0
0.899591	0	0
0.922657	0.000281162	0.000155881
0.945724	0.018101	0.000872241
0.96879	0.216569	0.00325287
0.991856	1.10512	0.00506389
1.01492	3.04395	0.0128963
1.03799	5.31507	0.0190668
1.06106	6.50037	0.0172786
1.08412	6.0141	0.0217054
1.10719	4.4635	0.0133062
1.13026	2.75439	0.00948588
1.15332	1.42659	0.00950007
1.17639	0.634161	0.00439448
1.19945	0.243623	0.00292951
1.22252	0.0795673	0.00241269
1.24559	0.0242945	0.0011012
1.26865	0.00607578	0.000689524
1.29172	0.00134982	0.000260025
1.31479	0.00185381	0.00038581
1.33785	0.00459785	0.000445311
1.36092	0.0184144	0.00101688
1.38399	0.0545175	0.00224453
1.40705	0.140371	0.00356244
1.43012	0.309089	0.00665769
1.45319	0.571668	0.00437294
1.47625	0.905219	0.00469606
1.49932	1.19629	0.00745898
1.52238	1.32474	0.0109602
1.54545	1.24155	0.0085861
1.56852	0.977896	0.00544987
1.59158	0.630085	0.00464709
1.61465	0.350806	0.00462534
1.63772	0.157913	0.00348923
1.66078	0.059559	0.00214014
1.68385	0.0254243	0.00160557
1.70692	0.0318811	0.00142891
1.72998	0.0996748	0.00246832
1.75305	0.299236	0.00528058
1.77612	0.737151	0.00683647
1.79918	1.50925	0.00585849
1.82225	2.49415	0.00991928
1.84531	3.34271	0.0119402
1.86838	3.69581	0.0151188
1.89145	3.38274	0.0118794
1.91451	2.55998	0.00906253
1.93758	1.61658	0.00695397
1.96065	0.863512	0.00711084
1.98371	0.388185	0.0060064
2.00678	0.15903	0.00358782
2.02985	0.0958567	0.00344711
2.05291	0.167571	0.00336499
2.07598	0.379996	0.00468248
2.09905	0.713892	0.00427415
2.12211	1.07374	0.00454275
2.14518	1.32899	0.00690927
2.16824	1.37034	0.00858138
2.19131	1.15885	0.0055233
2.21438	0.82419	0.00267825
2.23744	0.50491	0.00469198
2.26051	0.289	0.00580182
2.28358	0.217831	0.00529115
