#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	0.614948	0.614948	0
2	0.612903	0.613925	0.000722882
3	0.613347	0.613732	0.000507002
4	0.61219	0.613347	0.000506089
5	0.614429	0.613563	0.000448757
6	0.613558	0.613562	0.000373965
7	0.613148	0.613503	0.000325189
8	0.61519	0.613714	0.000346238
9	0.610711	0.61338	0.00044008
10	0.615429	0.613585	0.00044116
11	0.612029	0.613444	0.000423133
12	0.612714	0.613383	0.000392222
13	0.613149	0.613365	0.000362463
14	0.613628	0.613384	0.000337061
15	0.616584	0.613597	0.000376087
16	0.610063	0.613376	0.000412371
17	0.610853	0.613228	0.000413964
18	0.614333	0.613289	0.000395495
19	0.614137	0.613334	0.00037719
20	0.611133	0.613224	0.000374038
