#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.19833	-7.19833	0
2	-7.19652	-7.19742	0.000638073
3	-7.19837	-7.19774	0.000497574
4	-7.1949	-7.19703	0.000720108
5	-7.19799	-7.19722	0.000601091
6	-7.19888	-7.1975	0.00056102
7	-7.19695	-7.19742	0.000486328
8	-7.19871	-7.19758	0.000451652
9	-7.19382	-7.19716	0.000562902
10	-7.19989	-7.19744	0.000568772
11	-7.19513	-7.19723	0.000554217
12	-7.19528	-7.19706	0.000531267
13	-7.19587	-7.19697	0.000498297
14	-7.19741	-7.197	0.000463669
15	-7.20001	-7.1972	0.000474136
16	-7.19278	-7.19693	0.000518776
17	-7.19261	-7.19667	0.000546964
18	-7.19627	-7.19665	0.000517029
19	-7.19739	-7.19669	0.000491265
20	-7.19468	-7.19659	0.000476875
