#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.504127	0.504127	0
2	0.502741	0.503434	0.000489862
3	0.503144	0.503337	0.000335964
4	0.502237	0.503062	0.000346797
5	0.503816	0.503213	0.000308483
6	0.503254	0.50322	0.000257144
7	0.502951	0.503181	0.000223255
8	0.504454	0.50334	0.000245583
9	0.501435	0.503129	0.000295789
10	0.504547	0.503271	0.000298271
11	0.502283	0.503181	0.000284348
12	0.502787	0.503148	0.000262535
13	0.502977	0.503135	0.000242669
14	0.503401	0.503154	0.00022608
15	0.505333	0.503299	0.000253416
16	0.50098	0.503154	0.00027593
17	0.501414	0.503052	0.000278042
18	0.503857	0.503097	0.000266169
19	0.5037	0.503128	0.00025405
20	0.501702	0.503057	0.000251162
