#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.409965	0.409965	0
2	0.408602	0.409284	0.000481921
3	0.408898	0.409155	0.000338001
4	0.408127	0.408898	0.000337393
5	0.409619	0.409042	0.000299172
6	0.409039	0.409042	0.00024931
7	0.408765	0.409002	0.000216792
8	0.410127	0.409143	0.000230825
9	0.407141	0.40892	0.000293387
10	0.410286	0.409057	0.000294107
11	0.408019	0.408963	0.000282088
12	0.408476	0.408922	0.000261481
13	0.408766	0.40891	0.000241642
14	0.409086	0.408923	0.000224707
15	0.411056	0.409065	0.000250725
16	0.406709	0.408918	0.000274914
17	0.407235	0.408819	0.000275976
18	0.409556	0.40886	0.000263664
19	0.409425	0.408889	0.00025146
20	0.407422	0.408816	0.000249358
