#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.58338	-6.58338	0
2	-6.58362	-6.5835	8.48087e-05
3	-6.58503	-6.58401	0.000419446
4	-6.58271	-6.58368	0.000422409
5	-6.58356	-6.58366	0.000338642
6	-6.58532	-6.58394	0.00037927
7	-6.5838	-6.58392	0.000325578
8	-6.58352	-6.58387	0.000288559
9	-6.5831	-6.58378	0.000268683
10	-6.58446	-6.58385	0.000250206
11	-6.58311	-6.58378	0.000236457
12	-6.58257	-6.58368	0.000237524
13	-6.58272	-6.58361	0.000230488
14	-6.58378	-6.58362	0.000214347
15	-6.58343	-6.58361	0.00020044
16	-6.58272	-6.58355	0.000195413
17	-6.58175	-6.58345	0.000210566
18	-6.58194	-6.58336	0.000214842
19	-6.58325	-6.58336	0.000203616
20	-6.58355	-6.58337	0.000193657
