#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.66491	-6.66491	0
2	-6.65839	-6.66165	0.00230556
3	-6.66188	-6.66173	0.00153834
4	-6.65811	-6.66082	0.00139426
5	-6.66617	-6.66189	0.00146913
6	-6.66183	-6.66188	0.00122431
7	-6.66219	-6.66192	0.00105019
8	-6.66611	-6.66245	0.00104093
9	-6.65681	-6.66182	0.00109795
10	-6.65925	-6.66156	0.00101771
11	-6.66263	-6.66166	0.000929774
12	-6.6627	-6.66175	0.000856321
13	-6.66036	-6.66164	0.000797094
14	-6.66469	-6.66186	0.000769355
15	-6.66168	-6.66185	0.000718159
16	-6.65715	-6.66155	0.000730698
17	-6.66745	-6.6619	0.000765534
18	-6.6628	-6.66195	0.000724622
19	-6.65804	-6.66174	0.000715053
20	-6.66085	-6.6617	0.0006807
