N_BLOCK:	ACCEPTANCE:
1	1
2	1
35	0.496612
3	1
5	1
4	1
36	0.496647
57	0.630787
6	1
32	0.509874
5	1
7	1
58	0.630771
6	1
37	0.496658
8	1
33	0.509854
7	1
61	1
59	0.63079
9	1
8	1
38	0.49666
60	0.630765
10	1
34	0.509859
62	1
9	1
11	1
61	0.630747
39	0.496652
10	1
12	1
35	0.509922
63	1
11	1
62	0.63075
13	1
40	0.496668
12	1
14	1
36	0.509931
64	1
63	0.630739
13	1
15	1
41	0.496673
64	0.63072
14	1
65	1
37	0.509984
16	1
15	1
65	0.630697
17	1
42	0.496689
66	1
16	1
38	0.510036
18	1
66	0.630682
17	1
19	1
43	0.496661
67	1
67	0.630702
39	0.510051
18	1
20	1
19	1
44	0.496679
68	1
20	1
45	0.496638
46	0.496628
47	0.496626
