#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.33251	1.33251	0
2	1.26089	1.2967	0.0253239
35	1.2	1.2	5.03751e-09
3	1.25065	1.28135	0.0210264
5	1.28598	1.28969	0.00161745
4	1.24968	1.27343	0.0171963
36	1.2	1.2	4.96705e-09
57	1.8	1.8	1.24828e-08
6	1.29178	1.29004	0.00138465
32	1.65	1.65	9.12506e-09
5	1.27248	1.27324	0.013758
7	1.29438	1.29066	0.00131807
58	1.8	1.8	1.23747e-08
6	1.28791	1.27569	0.0116802
37	1.2	1.2	4.89947e-09
8	1.29551	1.29127	0.00128514
33	1.65	1.65	8.98574e-09
7	1.25221	1.27233	0.0104821
61	1.89144	1.84081	0.00433998
59	1.8	1.8	1.25724e-08
9	1.28965	1.29109	0.00115486
8	1.25467	1.27012	0.00940136
38	1.2	1.2	6.83712e-09
60	1.8	1.8	1.24672e-08
10	1.29531	1.29151	0.00111384
34	1.65	1.65	8.85261e-09
62	1.87217	1.84132	0.00429936
9	1.26275	1.2693	0.00839241
11	1.2853	1.29094	0.00114654
61	1.8	1.8	1.23646e-08
39	1.2	1.2	6.7489e-09
10	1.25948	1.26832	0.00761049
12	1.29276	1.2911	0.00106089
35	1.65	1.65	8.72523e-09
63	1.85569	1.84154	0.00423717
11	1.26388	1.26792	0.00692931
62	1.8	1.8	1.22645e-08
13	1.29472	1.29137	0.00101519
40	1.2	1.2	6.664e-09
12	1.23665	1.26531	0.00682414
14	1.2901	1.29128	0.000946719
36	1.65	1.65	8.60319e-09
64	1.80923	1.84104	0.00420095
63	1.8	1.8	1.21667e-08
13	1.25293	1.26436	0.00636532
15	1.29115	1.29127	0.000883646
41	1.2	1.2	6.58223e-09
64	1.8	1.8	1.20713e-08
14	1.23333	1.26214	0.00628474
65	1.83316	1.84092	0.00413807
37	1.65	1.65	8.48613e-09
16	1.29464	1.29148	0.000853148
15	1.24224	1.26082	0.00600417
65	1.8	1.8	1.19781e-08
17	1.28953	1.29137	0.000810697
42	1.2	1.2	6.8979e-09
66	1.81204	1.84048	0.00409843
16	1.26099	1.26083	0.00562892
38	1.65	1.65	8.37373e-09
18	1.29222	1.29142	0.000767036
66	1.8	1.8	1.1887e-08
17	1.22946	1.25898	0.00559212
19	1.29421	1.29156	0.000740656
43	1.2	1.2	7.53672e-09
67	1.86846	1.8409	0.00405848
67	1.8	1.8	1.1798e-08
39	1.65	1.65	6.7489e-09
18	1.25124	1.25855	0.00529795
20	1.28929	1.29145	0.000712299
19	1.2173	1.25638	0.00544591
44	1.2	1.2	7.45058e-09
68	1.81944	1.84058	0.00401104
20	1.22184	1.25465	0.00544061
45	1.2	1.2	7.02447e-09
46	1.2	1.2	7.28681e-09
47	1.2	1.2	7.20888e-09
