#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.888342	0.888342	0
2	0.84059	0.864466	0.0168826
35	0.8	0.8	2.51876e-09
3	0.833765	0.854232	0.0140176
5	0.857318	0.859796	0.0010783
4	0.833117	0.848954	0.0114642
36	0.8	0.8	2.48353e-09
57	1.2	1.2	7.38494e-09
6	0.861185	0.860027	0.0009231
32	1.1	1.1	7.45058e-09
5	0.848323	0.848828	0.00917203
7	0.862917	0.86044	0.000878712
58	1.2	1.2	7.321e-09
6	0.858606	0.850457	0.00778679
37	0.8	0.8	2.44974e-09
8	0.863673	0.860844	0.00085676
33	1.1	1.1	7.33682e-09
7	0.834805	0.848221	0.00698808
61	1.26096	1.22721	0.00289332
59	1.2	1.2	7.99868e-09
9	0.859765	0.860724	0.000769909
8	0.836449	0.84675	0.00626758
38	0.8	0.8	1.70928e-09
60	1.2	1.2	8.1617e-09
10	0.863538	0.861006	0.000742562
34	1.1	1.1	7.22812e-09
62	1.24812	1.22754	0.00286624
9	0.841832	0.846203	0.00559494
11	0.856869	0.86063	0.00076436
61	1.2	1.2	8.09453e-09
39	0.8	0.8	1.68722e-09
10	0.839652	0.845548	0.00507366
12	0.861837	0.86073	0.000707257
35	1.1	1.1	7.12412e-09
63	1.23713	1.2277	0.00282478
11	0.842589	0.845279	0.00461954
62	1.2	1.2	8.02898e-09
13	0.863144	0.860916	0.000676793
40	0.8	0.8	1.666e-09
12	0.824436	0.843542	0.00454943
14	0.860069	0.860855	0.000631146
36	1.1	1.1	7.02447e-09
64	1.20615	1.22736	0.00280063
63	1.2	1.2	7.96501e-09
13	0.835288	0.842907	0.00424355
15	0.860767	0.86085	0.000589097
41	0.8	0.8	1.64556e-09
64	1.2	1.2	7.90253e-09
14	0.82222	0.84143	0.00418982
65	1.2221	1.22728	0.00275871
37	1.1	1.1	6.9289e-09
16	0.863096	0.86099	0.000568765
15	0.828162	0.840545	0.00400278
65	1.2	1.2	7.84151e-09
17	0.859685	0.860913	0.000540465
42	0.8	0.8	2.2993e-09
66	1.20803	1.22699	0.00273229
16	0.840661	0.840552	0.00375261
38	1.1	1.1	6.83712e-09
18	0.861481	0.860945	0.000511358
66	1.2	1.2	7.78188e-09
17	0.819638	0.839322	0.00372808
19	0.862809	0.861043	0.000493771
43	0.8	0.8	3.21367e-09
67	1.24564	1.22726	0.00270565
67	1.2	1.2	7.72359e-09
39	1.1	1.1	7.5455e-09
18	0.834163	0.839035	0.00353197
20	0.859527	0.860967	0.000474866
19	0.811532	0.837588	0.0036306
44	0.8	0.8	3.17694e-09
68	1.21296	1.22705	0.00267403
20	0.814559	0.836436	0.00362708
45	0.8	0.8	3.51224e-09
46	0.8	0.8	4.11032e-09
47	0.8	0.8	4.34712e-09
