#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.26874	-5.26874	0
2	-5.26731	-5.26802	0.00050499
3	-5.26784	-5.26796	0.000340353
88	1.43372	1.43379	7.78739e-06
4	-5.26866	-5.26814	0.000295959
16	-3.39551	-3.39457	0.00018402
5	-5.26888	-5.26829	0.000271971
89	1.43389	1.43379	7.77997e-06
6	-5.26844	-5.26831	0.000227883
7	-5.26841	-5.26833	0.000195735
90	1.43376	1.43379	7.70036e-06
17	-3.39481	-3.39459	0.000173734
8	-5.26743	-5.26821	0.000201031
9	-5.26878	-5.26828	0.000188294
91	1.43375	1.43379	7.62598e-06
10	-5.26837	-5.26829	0.000169678
18	-3.39384	-3.39454	0.000168953
92	1.4336	1.43378	7.81094e-06
11	-5.26838	-5.26829	0.000154461
12	-5.2671	-5.26819	0.000170659
19	-3.39425	-3.39453	0.000160753
93	1.43354	1.43378	8.15093e-06
13	-5.26908	-5.26826	0.000170669
14	-5.26826	-5.26826	0.000158479
94	1.43378	1.43378	8.0644e-06
15	-5.26806	-5.26825	0.000148469
20	-3.39489	-3.39455	0.000153698
16	-5.26896	-5.26829	0.000145617
95	1.43382	1.43378	7.99135e-06
17	-5.26756	-5.26825	0.000143274
21	-3.39488	-3.39456	0.000147183
96	1.4338	1.43378	7.90966e-06
18	-5.26868	-5.26827	0.00013732
19	-5.26704	-5.26821	0.000144749
97	1.43384	1.43378	7.8476e-06
20	-5.26798	-5.2682	0.000137983
98	1.43372	1.43378	7.79702e-06
99	1.43382	1.43378	7.72973e-06
100	1.43386	1.43378	7.68974e-06
