#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
5	1.14754	1.14229	0.00167314
6	1.14176	1.1422	0.00139666
1	0.877354	0.877354	0
67	0.0621624	0.0612664	0.000134505
7	1.14712	1.14291	0.00136236
8	1.14059	1.14262	0.00122244
68	0.0605572	0.061256	0.000132931
9	1.14342	1.14271	0.00108988
2	0.888733	0.883043	0.00402307
10	1.1435	1.14279	0.000983796
69	0.0626609	0.0612763	0.000132554
11	1.143	1.14281	0.000894558
3	0.873783	0.879956	0.00368034
70	0.0613633	0.0612776	0.000130667
12	1.14422	1.14292	0.000827766
13	1.1418	1.14284	0.000768578
71	0.0608445	0.0612715	0.000128968
4	0.880547	0.880104	0.00276321
14	1.14173	1.14276	0.00071773
15	1.1446	1.14288	0.000680322
72	0.0593034	0.0612442	0.000130042
16	1.14395	1.14295	0.000641078
5	0.888465	0.881776	0.00266903
73	0.0591502	0.0612155	0.000131386
17	1.14345	1.14298	0.000604053
18	1.14627	1.14316	0.000597467
74	0.0612787	0.0612163	0.000129613
19	1.13845	1.14291	0.000615266
6	0.874733	0.880602	0.00246886
20	1.1435	1.14294	0.000585198
7	0.884348	0.881137	0.00217338
8	0.881547	0.881189	0.00190231
9	0.886582	0.881788	0.00178283
