#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	0	0
0.876524	0.000405023	0.000414579
0.899591	0.0477122	0.00197321
0.922657	0.251615	0.00392134
0.945724	0.762893	0.00550258
0.96879	1.65797	0.00765922
0.991856	2.69768	0.0101965
1.01492	3.54696	0.0177594
1.03799	4.00918	0.0105565
1.06106	4.03703	0.0120929
1.08412	3.6851	0.0164365
1.10719	3.20748	0.0148325
1.13026	2.5748	0.0157175
1.15332	1.8443	0.00763467
1.17639	1.27629	0.00585466
1.19945	0.866123	0.00732587
1.22252	0.564861	0.00587631
1.24559	0.375254	0.0041004
1.26865	0.242394	0.00544697
1.29172	0.170596	0.00436861
1.31479	0.133134	0.00379622
1.33785	0.144283	0.00368279
1.36092	0.198042	0.00336179
1.38399	0.261676	0.00377519
1.40705	0.360164	0.00403018
1.43012	0.494251	0.0032786
1.45319	0.592817	0.00443158
1.47625	0.720397	0.0043299
1.49932	0.798318	0.00547151
1.52238	0.790917	0.00524316
1.54545	0.771034	0.00507924
1.56852	0.70879	0.0058706
1.59158	0.593456	0.00460068
1.61465	0.480644	0.00360476
1.63772	0.406963	0.00431442
1.66078	0.378453	0.00463089
1.68385	0.408556	0.00506201
1.70692	0.5225	0.0057063
1.72998	0.689581	0.00609549
1.75305	0.97258	0.0068783
1.77612	1.31964	0.00551264
1.79918	1.68428	0.00479354
1.82225	2.00495	0.00639126
1.84531	2.23678	0.00900098
1.86838	2.24099	0.0149078
1.89145	2.10034	0.00870627
1.91451	1.87074	0.00934569
1.93758	1.60043	0.00486899
1.96065	1.32185	0.00439459
1.98371	1.02359	0.00479406
2.00678	0.836534	0.00619171
2.02985	0.693481	0.00654743
2.05291	0.676517	0.00524795
2.07598	0.717253	0.00484713
2.09905	0.771122	0.00406112
2.12211	0.836763	0.00365651
2.14518	0.88723	0.00387477
2.16824	0.86953	0.00527514
2.19131	0.856526	0.00468718
2.21438	0.766342	0.00426764
2.23744	0.726617	0.0037045
2.26051	0.716473	0.00465561
2.28358	0.760763	0.00464855
