#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0	0
0.461329	0	0
0.484395	0	0
0.507461	0	0
0.530528	0	0
0.553594	0	0
0.576661	0	0
0.599727	0	0
0.622794	0	0
0.64586	0	0
0.668926	0	0
0.691993	0	0
0.715059	0	0
0.738126	0	0
0.761192	0	0
0.784259	0	0
0.807325	0	0
0.830391	0	0
0.853458	0	0
0.876524	7.46715e-05	1.63942e-05
0.899591	0.00314985	0.000115973
0.922657	0.0499005	0.00042758
0.945724	0.306136	0.000960813
0.96879	1.04062	0.00179697
0.991856	2.2819	0.00328736
1.01492	3.6445	0.00371794
1.03799	4.58932	0.0045661
1.06106	4.84554	0.00436736
1.08412	4.43386	0.004115
1.10719	3.61954	0.00441957
1.13026	2.68366	0.00385379
1.15332	1.831	0.00258631
1.17639	1.15258	0.00194143
1.19945	0.673773	0.00151909
1.22252	0.3632	0.00147151
1.24559	0.184602	0.00103168
1.26865	0.0923023	0.00065247
1.29172	0.0519842	0.000621281
1.31479	0.0446209	0.000600622
1.33785	0.0635725	0.000735202
1.36092	0.110513	0.000986885
1.38399	0.18834	0.00117816
1.40705	0.305636	0.00128665
1.43012	0.456496	0.001265
1.45319	0.628701	0.00134651
1.47625	0.792065	0.0016925
1.49932	0.911382	0.00202673
1.52238	0.959292	0.00235973
1.54545	0.918498	0.00236196
1.56852	0.802884	0.00187218
1.59158	0.642482	0.00136433
1.61465	0.471322	0.00109445
1.63772	0.322001	0.00114577
1.66078	0.224775	0.00119628
1.68385	0.200117	0.00127052
1.70692	0.265715	0.00142805
1.72998	0.447082	0.00160362
1.75305	0.76522	0.0019339
1.77612	1.21259	0.00195544
1.79918	1.72836	0.00182498
1.82225	2.22644	0.00203818
1.84531	2.57222	0.00307683
1.86838	2.67989	0.00370559
1.89145	2.52821	0.00317852
1.91451	2.1668	0.00248595
1.93758	1.68996	0.00169404
1.96065	1.20973	0.00146395
1.98371	0.818264	0.00157631
2.00678	0.558849	0.0016888
2.02985	0.449349	0.00162822
2.05291	0.474927	0.00140762
2.07598	0.596712	0.00111025
2.09905	0.758702	0.000908775
2.12211	0.907904	0.0011198
2.14518	0.993738	0.00137213
2.16824	0.995673	0.00148223
2.19131	0.917136	0.00148555
2.21438	0.790858	0.00106457
2.23744	0.663918	0.0012584
2.26051	0.5829	0.00173353
2.28358	0.585408	0.0019705
