#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.20338	1.20338	0
2	1.19703	1.2002	0.00224569
3	1.20087	1.20042	0.00150803
4	1.19555	1.19921	0.00154629
5	1.20221	1.19981	0.00134897
6	1.19969	1.19979	0.00112429
7	1.19825	1.19957	0.000984817
8	1.19878	1.19947	0.000866592
9	1.19734	1.19923	0.000801928
10	1.19974	1.19928	0.000723322
11	1.1978	1.19915	0.000670098
12	1.20237	1.19942	0.000665866
13	1.1999	1.19945	0.000615667
14	1.19555	1.19918	0.000631811
15	1.20082	1.19928	0.000599082
16	1.20152	1.19942	0.00057768
17	1.19647	1.19925	0.000569158
18	1.19855	1.19921	0.000538863
19	1.20067	1.19929	0.000515903
20	1.19454	1.19905	0.000542084
21	1.20043	1.19912	0.000520223
22	1.19838	1.19908	0.000497646
23	1.2008	1.19916	0.000481588
24	1.19802	1.19911	0.000463839
25	1.20011	1.19915	0.000446996
26	1.19706	1.19907	0.000436941
27	1.19721	1.199	0.000426161
28	1.20248	1.19913	0.000428704
29	1.19802	1.19909	0.000415624
30	1.19844	1.19907	0.000402331
31	1.20143	1.19914	0.000396496
32	1.19926	1.19915	0.000384123
33	1.20172	1.19922	0.000380342
34	1.19931	1.19923	0.000369164
35	1.19479	1.1991	0.000379764
36	1.19883	1.19909	0.000369286
37	1.19754	1.19905	0.000361667
38	1.19927	1.19906	0.000352194
39	1.20034	1.19909	0.000344704
40	1.19804	1.19906	0.00033709
41	1.20008	1.19909	0.00032979
42	1.20169	1.19915	0.000327729
43	1.19853	1.19914	0.00032042
44	1.19874	1.19913	0.000313267
45	1.20362	1.19923	0.000321832
46	1.19896	1.19922	0.000314889
47	1.19974	1.19923	0.000308383
48	1.20241	1.1993	0.000308975
49	1.19941	1.1993	0.000302678
50	1.19911	1.1993	0.000296649
51	1.19811	1.19927	0.000291742
52	1.19739	1.19924	0.000288358
53	1.1997	1.19925	0.000283052
54	1.20011	1.19926	0.000278261
55	1.19765	1.19923	0.000274737
56	1.19673	1.19919	0.000273452
57	1.20284	1.19925	0.000276044
58	1.19674	1.19921	0.000274665
59	1.20083	1.19924	0.000271375
60	1.19692	1.1992	0.000269572
61	1.19752	1.19917	0.000266547
62	1.20072	1.19919	0.000263416
63	1.19836	1.19918	0.000259565
64	1.19863	1.19917	0.000255652
65	1.19506	1.19911	0.000259422
66	1.20008	1.19912	0.000255906
67	1.19667	1.19909	0.000254703
68	1.20009	1.1991	0.000251383
69	1.20277	1.19915	0.000253292
70	1.20162	1.19919	0.000252115
71	1.19846	1.19918	0.000248776
72	1.20275	1.19923	0.000250203
73	1.2004	1.19925	0.00024729
74	1.19829	1.19923	0.000244282
75	1.19518	1.19918	0.000246918
76	1.20086	1.1992	0.000244662
77	1.19761	1.19918	0.000242354
78	1.20078	1.1992	0.00024011
79	1.19981	1.19921	0.000237196
80	1.19974	1.19922	0.000234324
81	1.20077	1.19923	0.000232212
82	1.1993	1.19924	0.000229382
83	1.20315	1.19928	0.000231418
84	1.19831	1.19927	0.000228951
85	1.1998	1.19928	0.000226342
86	1.19966	1.19928	0.000223753
87	1.20134	1.1993	0.000222428
88	1.19364	1.19924	0.000229023
89	1.19863	1.19923	0.000226554
90	1.19907	1.19923	0.000224044
91	1.19807	1.19922	0.000221946
92	1.19887	1.19922	0.000219567
93	1.19886	1.19921	0.000217239
94	1.19749	1.19919	0.000215699
95	1.20172	1.19922	0.000215063
96	1.19671	1.19919	0.000214406
97	1.19868	1.19919	0.000212262
98	1.19939	1.19919	0.000210106
99	1.19778	1.19918	0.000208465
100	1.20156	1.1992	0.000207744
